name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-6.grenoble.grid5000.fr,19,68690,12797,1205990,113419
MergeSort,dahu-6.grenoble.grid5000.fr,19,67993,12428,1242307,112945
MergeSort,dahu-6.grenoble.grid5000.fr,19,66590,13254,1317623,122155
MergeSort,dahu-6.grenoble.grid5000.fr,19,69478,13217,1278378,112485
MergeSort,dahu-6.grenoble.grid5000.fr,19,66940,12475,1205807,103459
MergeSort,dahu-6.grenoble.grid5000.fr,19,65625,12326,1134885,103734
MergeSort,dahu-6.grenoble.grid5000.fr,19,66981,12891,1224240,112410
MergeSort,dahu-6.grenoble.grid5000.fr,19,65624,11645,1098630,107942
MergeSort,dahu-6.grenoble.grid5000.fr,19,65461,12665,1161740,103183
MergeSort,dahu-6.grenoble.grid5000.fr,19,66393,13074,1262082,113924
MergeSort,dahu-6.grenoble.grid5000.fr,19,65949,12708,1228635,113220
MergeSort,dahu-6.grenoble.grid5000.fr,19,69241,12648,1246640,112363
MergeSort,dahu-6.grenoble.grid5000.fr,19,67323,11832,1164365,103551
MergeSort,dahu-6.grenoble.grid5000.fr,19,65487,11411,1113218,106748
MergeSort,dahu-6.grenoble.grid5000.fr,19,66913,13001,1174314,115301
MergeSort,dahu-6.grenoble.grid5000.fr,19,65818,12190,1133420,103642
MergeSort,dahu-6.grenoble.grid5000.fr,19,68540,13103,1244016,112746
MergeSort,dahu-6.grenoble.grid5000.fr,19,66051,11731,1079709,94921
MergeSort,dahu-6.grenoble.grid5000.fr,19,66469,12583,1193478,105662
MergeSort,dahu-6.grenoble.grid5000.fr,19,65636,11777,1111325,106718
MergeSort,dahu-6.grenoble.grid5000.fr,19,66489,12276,1166867,103627
MergeSort,dahu-6.grenoble.grid5000.fr,19,65485,11905,1157163,103551
MergeSort,dahu-6.grenoble.grid5000.fr,19,66783,12161,1152097,103458
MergeSort,dahu-6.grenoble.grid5000.fr,19,66352,12106,1210873,107314
MergeSort,dahu-6.grenoble.grid5000.fr,19,69914,13706,1338742,121452
MergeSort,dahu-6.grenoble.grid5000.fr,19,67401,12162,1166501,103474
MergeSort,dahu-6.grenoble.grid5000.fr,19,62066,11477,1038694,106503
MergeSort,dahu-6.grenoble.grid5000.fr,19,69932,13768,1263058,112272
MergeSort,dahu-6.grenoble.grid5000.fr,19,65806,11710,1124875,106565
MergeSort,dahu-6.grenoble.grid5000.fr,19,67231,12674,1244870,112318
MergeSort,dahu-6.grenoble.grid5000.fr,19,62482,11713,1119504,98440
MergeSort,dahu-6.grenoble.grid5000.fr,19,69686,12326,1261044,112409
MergeSort,dahu-6.grenoble.grid5000.fr,19,66390,11644,1155088,104407
MergeSort,dahu-6.grenoble.grid5000.fr,19,67460,11968,1169919,103122
MergeSort,dahu-6.grenoble.grid5000.fr,19,66258,12525,1233945,112088
MergeSort,dahu-6.grenoble.grid5000.fr,19,66226,12362,1139524,116020
