name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-27.grenoble.grid5000.fr,22,130241,22923,2009028,196819
MergeSort,dahu-27.grenoble.grid5000.fr,22,131306,23315,2093073,194616
MergeSort,dahu-27.grenoble.grid5000.fr,22,128636,21114,1922358,177174
MergeSort,dahu-27.grenoble.grid5000.fr,22,128817,21156,1920954,177939
MergeSort,dahu-27.grenoble.grid5000.fr,22,131580,22915,2098200,194295
MergeSort,dahu-27.grenoble.grid5000.fr,22,128167,21869,1916987,186354
MergeSort,dahu-27.grenoble.grid5000.fr,22,126109,20866,1920222,176134
MergeSort,dahu-27.grenoble.grid5000.fr,22,129710,21429,1915462,177403
MergeSort,dahu-27.grenoble.grid5000.fr,22,129559,22808,2001338,185360
MergeSort,dahu-27.grenoble.grid5000.fr,22,129972,22058,2002558,185114
MergeSort,dahu-27.grenoble.grid5000.fr,22,130379,22264,2092219,193514
MergeSort,dahu-27.grenoble.grid5000.fr,22,127656,21777,2012263,184900
MergeSort,dahu-27.grenoble.grid5000.fr,22,127896,21794,2009577,176945
MergeSort,dahu-27.grenoble.grid5000.fr,22,126643,21261,1895503,177572
MergeSort,dahu-27.grenoble.grid5000.fr,22,128333,22091,2003474,184518
MergeSort,dahu-27.grenoble.grid5000.fr,22,126495,21206,1905207,177587
MergeSort,dahu-27.grenoble.grid5000.fr,22,132732,25443,2264338,211278
MergeSort,dahu-27.grenoble.grid5000.fr,22,126196,21387,1918208,178199
MergeSort,dahu-27.grenoble.grid5000.fr,22,128216,22376,2000911,186538
MergeSort,dahu-27.grenoble.grid5000.fr,22,126331,21435,1919246,177617
MergeSort,dahu-27.grenoble.grid5000.fr,22,131583,24659,2182245,202495
MergeSort,dahu-27.grenoble.grid5000.fr,22,127271,21324,1929622,176715
MergeSort,dahu-27.grenoble.grid5000.fr,22,126052,21489,1913326,176700
MergeSort,dahu-27.grenoble.grid5000.fr,22,127376,22506,2024104,185834
MergeSort,dahu-27.grenoble.grid5000.fr,22,129258,22054,2010005,185298
MergeSort,dahu-27.grenoble.grid5000.fr,22,126755,21878,2010920,184794
MergeSort,dahu-27.grenoble.grid5000.fr,22,131895,25224,2261041,210818
MergeSort,dahu-27.grenoble.grid5000.fr,22,125018,20567,1914606,176792
MergeSort,dahu-27.grenoble.grid5000.fr,22,127047,21230,1918513,175935
MergeSort,dahu-27.grenoble.grid5000.fr,22,130871,25003,2182733,202618
FrogJump,dahu-27.grenoble.grid5000.fr,22,1155379,168947,15336082,1502460
FrogJump,dahu-27.grenoble.grid5000.fr,22,1213558,184581,16770465,1667118
FrogJump,dahu-27.grenoble.grid5000.fr,22,1226054,183830,16666827,1667088
FrogJump,dahu-27.grenoble.grid5000.fr,22,1305789,212463,19034131,1893925
FrogJump,dahu-27.grenoble.grid5000.fr,22,1224068,193605,17529435,1746572
FrogJump,dahu-27.grenoble.grid5000.fr,22,1320479,208319,18666578,1864014
FrogJump,dahu-27.grenoble.grid5000.fr,22,1262978,196855,17749405,1790498
FrogJump,dahu-27.grenoble.grid5000.fr,22,1291965,202902,18276199,1833445
FrogJump,dahu-27.grenoble.grid5000.fr,22,1328978,204946,18464247,1879529
FrogJump,dahu-27.grenoble.grid5000.fr,22,1377948,214638,19224560,1945992
FrogJump,dahu-27.grenoble.grid5000.fr,22,1369701,205081,18407973,1861520
FrogJump,dahu-27.grenoble.grid5000.fr,22,2312016,339959,30550398,3109495
FrogJump,dahu-27.grenoble.grid5000.fr,22,1731963,250358,22378361,2267429
FrogJump,dahu-27.grenoble.grid5000.fr,22,1311525,202085,18131179,1840223
FrogJump,dahu-27.grenoble.grid5000.fr,22,1373893,219250,19668346,1998394
FrogJump,dahu-27.grenoble.grid5000.fr,22,1332397,207638,18640760,1894492
FrogJump,dahu-27.grenoble.grid5000.fr,22,1369764,219624,19738048,1990346
FrogJump,dahu-27.grenoble.grid5000.fr,22,1347778,211819,18989575,1924847
FrogJump,dahu-27.grenoble.grid5000.fr,22,1328114,208386,18726819,1897965
FrogJump,dahu-27.grenoble.grid5000.fr,22,1385949,214530,19203504,1942397
FrogJump,dahu-27.grenoble.grid5000.fr,22,1306075,195338,17618973,1794766
FrogJump,dahu-27.grenoble.grid5000.fr,22,1384037,221185,19753246,2012868
FrogJump,dahu-27.grenoble.grid5000.fr,22,1508124,267340,23845276,2415380
FrogJump,dahu-27.grenoble.grid5000.fr,22,1351308,219223,19609691,2000368
FrogJump,dahu-27.grenoble.grid5000.fr,22,1369441,210869,18770887,1869369
FrogJump,dahu-27.grenoble.grid5000.fr,22,1372301,221652,19772167,1981167
FrogJump,dahu-27.grenoble.grid5000.fr,22,1373725,221936,19794077,1991662
FrogJump,dahu-27.grenoble.grid5000.fr,22,1416128,231105,20569527,2080341
FrogJump,dahu-27.grenoble.grid5000.fr,22,1372384,213101,19111402,1908063
FrogJump,dahu-27.grenoble.grid5000.fr,22,1384225,217590,19445690,1967932
Life - sequential generation,dahu-27.grenoble.grid5000.fr,22,372134,153618,13392299,1287082
Life - sequential generation,dahu-27.grenoble.grid5000.fr,22,362208,149562,13027249,1250378
Life - sequential generation,dahu-27.grenoble.grid5000.fr,22,367829,149571,13000455,1255396
Life - sequential generation,dahu-27.grenoble.grid5000.fr,22,375518,149793,13103177,1262127
Life - sequential generation,dahu-27.grenoble.grid5000.fr,22,364441,149406,12939908,1254798
