name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-27.grenoble.grid5000.fr,40,132007,22068,1537960,179561
MergeSort,dahu-27.grenoble.grid5000.fr,40,130284,18994,1315426,157161
MergeSort,dahu-27.grenoble.grid5000.fr,40,123298,19185,1292477,155555
MergeSort,dahu-27.grenoble.grid5000.fr,40,126340,18112,1190304,144402
MergeSort,dahu-27.grenoble.grid5000.fr,40,125891,18332,1263058,137012
MergeSort,dahu-27.grenoble.grid5000.fr,40,123540,17665,1219235,144524
MergeSort,dahu-27.grenoble.grid5000.fr,40,118732,17351,1159360,131029
MergeSort,dahu-27.grenoble.grid5000.fr,40,134430,18572,1201840,119279
MergeSort,dahu-27.grenoble.grid5000.fr,40,134098,19289,1256467,127617
MergeSort,dahu-27.grenoble.grid5000.fr,40,136912,18561,1216611,138786
MergeSort,dahu-27.grenoble.grid5000.fr,40,122574,18823,1189938,141036
MergeSort,dahu-27.grenoble.grid5000.fr,40,116826,18530,1188107,139061
MergeSort,dahu-27.grenoble.grid5000.fr,40,123289,18412,1209286,144463
MergeSort,dahu-27.grenoble.grid5000.fr,40,137000,19572,1300778,159457
MergeSort,dahu-27.grenoble.grid5000.fr,40,120239,18598,1293637,141418
MergeSort,dahu-27.grenoble.grid5000.fr,40,121711,19074,1288815,132452
MergeSort,dahu-27.grenoble.grid5000.fr,40,129066,18850,1417904,151700
MergeSort,dahu-27.grenoble.grid5000.fr,40,122279,18148,1325131,158141
MergeSort,dahu-27.grenoble.grid5000.fr,40,124113,18516,1292477,156076
MergeSort,dahu-27.grenoble.grid5000.fr,40,126705,19013,1359799,163924
MergeSort,dahu-27.grenoble.grid5000.fr,40,118429,18666,1282406,156581
MergeSort,dahu-27.grenoble.grid5000.fr,40,120905,18407,1284665,155861
MergeSort,dahu-27.grenoble.grid5000.fr,40,123685,19069,1370113,163603
MergeSort,dahu-27.grenoble.grid5000.fr,40,120384,18483,1295102,156427
MergeSort,dahu-27.grenoble.grid5000.fr,40,123169,17355,1236386,157406
MergeSort,dahu-27.grenoble.grid5000.fr,40,131403,18755,1372128,161905
MergeSort,dahu-27.grenoble.grid5000.fr,40,124693,17845,1294797,155478
MergeSort,dahu-27.grenoble.grid5000.fr,40,129758,18086,1307980,154500
MergeSort,dahu-27.grenoble.grid5000.fr,40,123815,18115,1284360,155250
MergeSort,dahu-27.grenoble.grid5000.fr,40,128840,19536,1343014,162884
FrogJump,dahu-27.grenoble.grid5000.fr,40,1494164,162797,12584135,1465418
FrogJump,dahu-27.grenoble.grid5000.fr,40,1381186,171840,12861113,1551833
FrogJump,dahu-27.grenoble.grid5000.fr,40,1519619,185958,13973231,1668022
FrogJump,dahu-27.grenoble.grid5000.fr,40,1405750,177068,13210599,1588859
FrogJump,dahu-27.grenoble.grid5000.fr,40,1867437,224365,16045857,1882114
FrogJump,dahu-27.grenoble.grid5000.fr,40,1526008,196475,13982813,1625059
FrogJump,dahu-27.grenoble.grid5000.fr,40,1876157,231449,16507710,1947659
FrogJump,dahu-27.grenoble.grid5000.fr,40,1655176,297387,19502147,2201854
FrogJump,dahu-27.grenoble.grid5000.fr,40,1733921,210668,15368247,1898990
FrogJump,dahu-27.grenoble.grid5000.fr,40,1498672,196256,14249353,1769751
FrogJump,dahu-27.grenoble.grid5000.fr,40,1850764,220891,16003072,1986185
FrogJump,dahu-27.grenoble.grid5000.fr,40,1517782,197551,14155298,1786872
FrogJump,dahu-27.grenoble.grid5000.fr,40,4780856,513303,36828214,4295842
FrogJump,dahu-27.grenoble.grid5000.fr,40,1526469,197434,13354824,1486318
FrogJump,dahu-27.grenoble.grid5000.fr,40,1750989,215246,14815087,1734684
FrogJump,dahu-27.grenoble.grid5000.fr,40,1535210,196899,13630214,1581102
FrogJump,dahu-27.grenoble.grid5000.fr,40,1887427,212647,15289817,1917565
FrogJump,dahu-27.grenoble.grid5000.fr,40,1570638,201166,14350061,1827295
FrogJump,dahu-27.grenoble.grid5000.fr,40,1703234,211953,14506982,1764993
FrogJump,dahu-27.grenoble.grid5000.fr,40,1577539,199790,14352258,1646218
FrogJump,dahu-27.grenoble.grid5000.fr,40,1812092,221925,15831686,1795439
FrogJump,dahu-27.grenoble.grid5000.fr,40,1568329,203502,14358179,1665313
FrogJump,dahu-27.grenoble.grid5000.fr,40,1836003,227563,16061848,1891065
FrogJump,dahu-27.grenoble.grid5000.fr,40,1596412,210968,14592492,1742394
FrogJump,dahu-27.grenoble.grid5000.fr,40,1908035,237973,16556476,1995533
FrogJump,dahu-27.grenoble.grid5000.fr,40,1568549,202365,13978053,1644643
FrogJump,dahu-27.grenoble.grid5000.fr,40,3224923,374428,26658318,3185567
FrogJump,dahu-27.grenoble.grid5000.fr,40,2848243,338367,23925354,2838318
FrogJump,dahu-27.grenoble.grid5000.fr,40,1833505,225150,15451011,1826039
FrogJump,dahu-27.grenoble.grid5000.fr,40,1580502,194204,13473232,1582066
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,126658,126847,6855817,642279
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127364,127493,6752424,632686
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,126758,126887,6695417,626443
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127070,127145,6778609,663638
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128087,128169,6799788,641009
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127430,127690,6754744,641361
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127484,127617,6750837,634399
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127519,127639,6799054,639571
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127899,128012,6747907,633099
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127054,127170,6697859,629840
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127862,127986,6751508,634048
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127533,127654,6752973,634843
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127886,127966,6759932,639203
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127733,128003,6760054,633833
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128156,128285,6815839,640397
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,130719,130840,6913130,656278
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128481,128558,6811322,638194
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127411,127544,6751326,638056
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128323,128405,6804487,638744
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128311,128442,6801252,639127
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128446,128571,6802106,639203
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127601,127867,6812726,630804
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127703,127834,6803999,639250
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127772,127894,6798933,638836
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128162,128282,6804120,639754
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128105,128226,6799055,638148
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127872,127987,6798750,638745
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127497,127621,6753706,633588
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,128209,128334,6802717,638331
Life - sequential generation,dahu-27.grenoble.grid5000.fr,40,127601,127860,6749556,634338
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1622603,41601,3175651,388666
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1601461,40272,3157036,392965
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1598517,40221,3141044,393792
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1554746,39134,3066277,382944
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1601720,40284,3156547,393807
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1590454,40003,3155327,392583
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1573020,39575,3090141,384505
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1581120,39784,3160393,392261
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1595902,40103,3166985,395245
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1588266,39959,3159172,395428
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1616758,40675,3228508,404256
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1569335,39493,3082207,384642
Life - parallel iterators generation,dahu-27.grenoble.grid5000.fr,40,1583294,39847,3148185,393332
