name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-9.grenoble.grid5000.fr,16,127450,17294,1513607,137317
MergeSort,dahu-9.grenoble.grid5000.fr,16,134104,18617,1618038,151991
MergeSort,dahu-9.grenoble.grid5000.fr,16,133749,17963,1457333,135649
MergeSort,dahu-9.grenoble.grid5000.fr,16,125536,17031,1451718,135115
MergeSort,dahu-9.grenoble.grid5000.fr,16,125556,16965,1455257,135543
MergeSort,dahu-9.grenoble.grid5000.fr,16,127351,17051,1424740,129989
MergeSort,dahu-9.grenoble.grid5000.fr,16,131323,18084,1535396,145977
MergeSort,dahu-9.grenoble.grid5000.fr,16,137816,20096,1681331,151638
MergeSort,dahu-9.grenoble.grid5000.fr,16,129607,18022,1549556,145120
MergeSort,dahu-9.grenoble.grid5000.fr,16,132327,19271,1591610,152067
MergeSort,dahu-9.grenoble.grid5000.fr,16,129154,17560,1417476,128688
MergeSort,dahu-9.grenoble.grid5000.fr,16,122557,17009,1418209,128627
MergeSort,dahu-9.grenoble.grid5000.fr,16,124586,16737,1422665,128780
MergeSort,dahu-9.grenoble.grid5000.fr,16,133777,18008,1545101,141862
MergeSort,dahu-9.grenoble.grid5000.fr,16,130513,18231,1506771,136996
MergeSort,dahu-9.grenoble.grid5000.fr,16,132935,17525,1435910,129714
MergeSort,dahu-9.grenoble.grid5000.fr,16,123360,16461,1431942,127923
MergeSort,dahu-9.grenoble.grid5000.fr,16,128491,16728,1469600,134977
MergeSort,dahu-9.grenoble.grid5000.fr,16,137557,20467,1788814,165592
MergeSort,dahu-9.grenoble.grid5000.fr,16,135318,19677,1616573,148625
MergeSort,dahu-9.grenoble.grid5000.fr,16,142631,19952,1702754,159594
MergeSort,dahu-9.grenoble.grid5000.fr,16,122994,16339,1368526,134549
MergeSort,dahu-9.grenoble.grid5000.fr,16,134275,17608,1450985,137103
MergeSort,dahu-9.grenoble.grid5000.fr,16,138777,18243,1520016,136537
MergeSort,dahu-9.grenoble.grid5000.fr,16,141391,18798,1598628,144080
MergeSort,dahu-9.grenoble.grid5000.fr,16,124956,17196,1451230,134670
MergeSort,dahu-9.grenoble.grid5000.fr,16,130924,18374,1534542,144462
MergeSort,dahu-9.grenoble.grid5000.fr,16,146353,20489,1706783,157207
MergeSort,dahu-9.grenoble.grid5000.fr,16,126175,16966,1423153,121099
MergeSort,dahu-9.grenoble.grid5000.fr,16,130335,17316,1434567,129132
MergeSort,dahu-9.grenoble.grid5000.fr,16,126115,17578,1519772,136277
MergeSort,dahu-9.grenoble.grid5000.fr,16,126051,17667,1528561,144860
MergeSort,dahu-9.grenoble.grid5000.fr,16,129666,18854,1609676,152755
MergeSort,dahu-9.grenoble.grid5000.fr,16,135802,18663,1593135,135956
MergeSort,dahu-9.grenoble.grid5000.fr,16,128096,17508,1455807,134319
MergeSort,dahu-9.grenoble.grid5000.fr,16,122904,16743,1447018,136139
MergeSort,dahu-9.grenoble.grid5000.fr,16,127203,17604,1531429,135711
MergeSort,dahu-9.grenoble.grid5000.fr,16,133284,18634,1633358,151088
MergeSort,dahu-9.grenoble.grid5000.fr,16,143877,20358,1647578,158936
MergeSort,dahu-9.grenoble.grid5000.fr,16,141787,19337,1579036,143560
MergeSort,dahu-9.grenoble.grid5000.fr,16,122307,16596,1446407,134212
MergeSort,dahu-9.grenoble.grid5000.fr,16,125880,16892,1444943,134762
MergeSort,dahu-9.grenoble.grid5000.fr,16,122848,16719,1372678,125307
MergeSort,dahu-9.grenoble.grid5000.fr,16,127239,18893,1512753,136904
MergeSort,dahu-9.grenoble.grid5000.fr,16,131837,17228,1461300,136002
MergeSort,dahu-9.grenoble.grid5000.fr,16,137828,19862,1706905,157727
MergeSort,dahu-9.grenoble.grid5000.fr,16,125263,16826,1447567,134319
MergeSort,dahu-9.grenoble.grid5000.fr,16,156158,19735,1713985,160359
MergeSort,dahu-9.grenoble.grid5000.fr,16,130061,17254,1534481,143101
MergeSort,dahu-9.grenoble.grid5000.fr,16,145029,21479,1769344,167351
FrogJump,dahu-9.grenoble.grid5000.fr,16,2085939,232295,19471935,1819782
FrogJump,dahu-9.grenoble.grid5000.fr,16,2127468,245252,20781747,1964520
FrogJump,dahu-9.grenoble.grid5000.fr,16,2101785,258478,21802007,2071574
FrogJump,dahu-9.grenoble.grid5000.fr,16,2118234,247972,20821602,1962592
FrogJump,dahu-9.grenoble.grid5000.fr,16,6294910,666524,56007791,5266566
FrogJump,dahu-9.grenoble.grid5000.fr,16,2124476,237771,20017222,1885052
FrogJump,dahu-9.grenoble.grid5000.fr,16,2089204,244053,20544992,1949542
FrogJump,dahu-9.grenoble.grid5000.fr,16,2137941,266616,22347233,2101409
FrogJump,dahu-9.grenoble.grid5000.fr,16,2051335,227829,19237194,1830094
FrogJump,dahu-9.grenoble.grid5000.fr,16,2165465,254716,21541143,2067887
FrogJump,dahu-9.grenoble.grid5000.fr,16,2079752,235701,19973276,1916937
FrogJump,dahu-9.grenoble.grid5000.fr,16,2123720,243367,20505075,1928504
FrogJump,dahu-9.grenoble.grid5000.fr,16,2088866,236659,20062082,1912638
FrogJump,dahu-9.grenoble.grid5000.fr,16,6073136,608429,51501394,4871673
FrogJump,dahu-9.grenoble.grid5000.fr,16,2158770,255161,21489813,2055402
FrogJump,dahu-9.grenoble.grid5000.fr,16,2165439,255513,21511908,2031045
FrogJump,dahu-9.grenoble.grid5000.fr,16,2062948,238202,20205942,1932849
