name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-3.grenoble.grid5000.fr,23,106045,22051,1950496,166816
MergeSort,dahu-3.grenoble.grid5000.fr,23,105861,19773,1775447,143376
MergeSort,dahu-3.grenoble.grid5000.fr,23,100291,23216,2115107,173181
MergeSort,dahu-3.grenoble.grid5000.fr,23,102213,19744,1770930,149496
MergeSort,dahu-3.grenoble.grid5000.fr,23,106412,22471,2028254,172798
MergeSort,dahu-3.grenoble.grid5000.fr,23,102595,19962,1797603,161079
MergeSort,dahu-3.grenoble.grid5000.fr,23,101118,20091,1768856,150139
MergeSort,dahu-3.grenoble.grid5000.fr,23,103894,20341,1769587,149956
MergeSort,dahu-3.grenoble.grid5000.fr,23,101104,19801,1687801,142872
MergeSort,dahu-3.grenoble.grid5000.fr,23,105466,20625,1776607,150842
MergeSort,dahu-3.grenoble.grid5000.fr,23,103556,20561,1768306,150782
MergeSort,dahu-3.grenoble.grid5000.fr,23,104174,20192,1774410,150322
MergeSort,dahu-3.grenoble.grid5000.fr,23,105577,20357,1767879,150904
MergeSort,dahu-3.grenoble.grid5000.fr,23,103694,19727,1771480,150935
MergeSort,dahu-3.grenoble.grid5000.fr,23,104938,22259,1958064,165592
MergeSort,dahu-3.grenoble.grid5000.fr,23,104916,20848,1774410,150659
MergeSort,dahu-3.grenoble.grid5000.fr,23,104462,20571,1776606,150735
MergeSort,dahu-3.grenoble.grid5000.fr,23,101321,19472,1795711,157865
MergeSort,dahu-3.grenoble.grid5000.fr,23,101095,19360,1769099,150873
MergeSort,dahu-3.grenoble.grid5000.fr,23,104255,19509,1682979,143239
MergeSort,dahu-3.grenoble.grid5000.fr,23,106047,20559,1855830,158325
MergeSort,dahu-3.grenoble.grid5000.fr,23,101401,19500,1770992,150322
MergeSort,dahu-3.grenoble.grid5000.fr,23,105179,19829,1768733,150506
MergeSort,dahu-3.grenoble.grid5000.fr,23,104651,21117,1865778,157727
MergeSort,dahu-3.grenoble.grid5000.fr,23,104760,20180,1774775,149543
MergeSort,dahu-3.grenoble.grid5000.fr,23,102308,19772,1683162,142749
MergeSort,dahu-3.grenoble.grid5000.fr,23,105293,21509,1858638,157820
MergeSort,dahu-3.grenoble.grid5000.fr,23,104901,20434,1852168,156060
MergeSort,dahu-3.grenoble.grid5000.fr,23,102541,20234,1761836,149604
MergeSort,dahu-3.grenoble.grid5000.fr,23,103104,20194,1767940,149557
FrogJump,dahu-3.grenoble.grid5000.fr,23,1311619,191371,16800860,1491995
FrogJump,dahu-3.grenoble.grid5000.fr,23,2316531,319174,28100880,2516039
FrogJump,dahu-3.grenoble.grid5000.fr,23,1323203,207861,18250014,1618006
FrogJump,dahu-3.grenoble.grid5000.fr,23,1292052,187580,16577472,1491306
FrogJump,dahu-3.grenoble.grid5000.fr,23,2326133,309885,27417471,2464356
FrogJump,dahu-3.grenoble.grid5000.fr,23,1310978,191299,16895221,1495483
FrogJump,dahu-3.grenoble.grid5000.fr,23,1298477,191452,16791461,1495361
FrogJump,dahu-3.grenoble.grid5000.fr,23,1293971,185043,16333515,1476878
FrogJump,dahu-3.grenoble.grid5000.fr,23,1324024,195614,17139238,1534758
FrogJump,dahu-3.grenoble.grid5000.fr,23,1306853,193862,17104998,1532173
FrogJump,dahu-3.grenoble.grid5000.fr,23,3422489,455930,40769366,3743252
FrogJump,dahu-3.grenoble.grid5000.fr,23,3492883,469398,41662003,3821619
FrogJump,dahu-3.grenoble.grid5000.fr,23,1305510,195848,17364336,1558305
FrogJump,dahu-3.grenoble.grid5000.fr,23,1304616,190616,16740008,1511043
FrogJump,dahu-3.grenoble.grid5000.fr,23,1327449,199660,17597306,1600304
FrogJump,dahu-3.grenoble.grid5000.fr,23,1286658,182725,16142781,1445957
FrogJump,dahu-3.grenoble.grid5000.fr,23,1295514,194801,17188860,1536258
FrogJump,dahu-3.grenoble.grid5000.fr,23,1338596,222895,19571727,1766324
FrogJump,dahu-3.grenoble.grid5000.fr,23,3436452,455358,40188923,3626681
FrogJump,dahu-3.grenoble.grid5000.fr,23,1352070,201179,17691727,1584315
FrogJump,dahu-3.grenoble.grid5000.fr,23,1329812,198728,17436357,1569841
FrogJump,dahu-3.grenoble.grid5000.fr,23,1302254,196667,17322343,1544382
FrogJump,dahu-3.grenoble.grid5000.fr,23,1312304,194701,17139055,1548650
FrogJump,dahu-3.grenoble.grid5000.fr,23,1295533,197442,17372086,1541843
FrogJump,dahu-3.grenoble.grid5000.fr,23,1298865,202636,17733780,1579113
FrogJump,dahu-3.grenoble.grid5000.fr,23,1306714,191289,16808612,1513705
FrogJump,dahu-3.grenoble.grid5000.fr,23,1299890,197988,17384782,1550227
FrogJump,dahu-3.grenoble.grid5000.fr,23,1302531,186419,16509968,1483090
FrogJump,dahu-3.grenoble.grid5000.fr,23,1294333,186706,16419758,1473680
FrogJump,dahu-3.grenoble.grid5000.fr,23,1300134,193279,16950945,1512206
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151063,151083,13010587,1130731
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151466,151487,12994656,1127794
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151511,151532,12997038,1130119
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151140,151168,13018460,1130746
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150835,150856,12979642,1128161
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150917,150935,12928068,1122623
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150538,150559,12908964,1120495
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150777,150798,12914334,1118720
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151021,151043,12900541,1121077
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150662,150689,13015530,1129981
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150793,150813,12889433,1126371
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151455,151475,13003568,1135153
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151574,151596,12998013,1131817
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151487,151507,12991604,1131741
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150909,150930,12998685,1130196
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151057,151077,13014615,1131664
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150969,150995,13004728,1134786
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151041,151063,12987088,1135275
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150928,150952,12915556,1127656
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150907,150926,12991788,1132384
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151258,151279,12991971,1130119
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151336,151356,13009000,1130349
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150589,150614,12921232,1123509
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151270,151297,13007413,1124213
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151296,151316,12905302,1124703
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150995,151016,12996305,1129278
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150740,150760,12992886,1131343
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,150455,150475,12905729,1125713
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151104,151125,12929533,1132705
Life - sequential generation,dahu-3.grenoble.grid5000.fr,23,151581,151607,12985379,1132139
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,577884,25347,2396966,200063
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,611709,26817,2393854,200063
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,565408,24808,2224298,184335
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,584920,25658,2313715,191387
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,577315,25325,2300898,192367
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,566840,24865,2301386,192443
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,601732,26387,2400384,207483
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,594839,26078,2384149,200736
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,580889,25464,2291865,192504
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,577073,25321,2299006,192565
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,588551,25811,2389886,199818
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,573142,25141,2300776,193147
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,572467,25114,2296991,192015
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,575137,25226,2387018,200981
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,584804,25665,2397210,199864
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,570490,25024,2305842,193102
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,567891,24926,2306756,194754
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,603819,26480,2392388,200399
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,588075,25796,2386041,200690
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,569251,24964,2297541,191908
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,578999,25394,2311517,193377
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,569234,24979,2304315,199328
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,588873,25841,2394159,200981
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,571922,25103,2305536,192688
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,576616,25289,2364557,199726
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,592366,25970,2398187,199818
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,584540,25642,2332147,191066
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,563966,24745,2205560,185053
Life - parallel iterators generation,dahu-3.grenoble.grid5000.fr,23,590044,25873,2385736,192153
