name,cpu_time_us,package_energy,core_energy
MergeSort,16705123,18922926,1018029
FrogJump,963210,1702930,219548
Life - sequential generation,55685,379406,6164
Life - parallel iterators generation,161441,218663,32194
Life - parallel bridge generation,5239221,4669009,583695
NBody parallel iterator,47894,88145,12024
NBody parallel reduce,170877,266557,53403
NBody sequential,30806,220737,81630
QuickSort,77611,108805,13229
Travelling Salesman Problem,5429,20431,2274
MergeSort,6113109,18890411,2170481
FrogJump,982721,1661962,136178
Life - sequential generation,67470,411829,7568
Life - parallel iterators generation,159110,208059,28715
Life - parallel bridge generation,5177467,4597586,574708
NBody parallel iterator,51333,105479,20263
NBody parallel reduce,174441,262926,47697
NBody sequential,27195,215305,79647
QuickSort,77371,126398,25435
Travelling Salesman Problem,5779,11398,2075
MergeSort,6476796,17496166,3837128
FrogJump,968489,1738939,208729
Life - sequential generation,59438,390270,151329
Life - parallel iterators generation,158285,225406,24581
Life - parallel bridge generation,5357017,4675539,588958
NBody parallel iterator,51366,126122,19988
NBody parallel reduce,177955,231861,44828
NBody sequential,28938,228962,86498
QuickSort,77126,126504,24611
Travelling Salesman Problem,6237,9048,1435
MergeSort,6448487,17973451,4052097
FrogJump,992785,1836559,200811
Life - sequential generation,55968,384211,128640
Life - parallel iterators generation,163123,228596,29402
Life - parallel bridge generation,5302875,4693972,593293
NBody parallel iterator,53395,118479,22796
NBody parallel reduce,159651,239108,48795
NBody sequential,27816,240665,91045
QuickSort,74054,107584,18447
Travelling Salesman Problem,5953,9186,1038
MergeSort,6303493,18244662,1648658
FrogJump,975972,1700611,164832
Life - sequential generation,61909,393214,7080
Life - parallel iterators generation,160018,223515,31553
Life - parallel bridge generation,5398018,4713532,597946
NBody parallel iterator,55333,117212,15746
NBody parallel reduce,166074,259843,44416
NBody sequential,30364,218601,76702
QuickSort,73515,125329,17882
Travelling Salesman Problem,6681,14221,2060
MergeSort,6240807,19104572,1716648
FrogJump,975966,1586542,219563
Life - sequential generation,64256,396403,7217
Life - parallel iterators generation,159588,226734,27739
Life - parallel bridge generation,5246127,4884315,627576
NBody parallel iterator,56882,128900,19912
NBody parallel reduce,166063,248751,48795
NBody sequential,29810,230960,47163
QuickSort,77983,107645,9002
Travelling Salesman Problem,5755,12497,1296
MergeSort,6171357,17754255,3755543
FrogJump,983559,1790862,249773
Life - sequential generation,54594,389079,7369
Life - parallel iterators generation,156189,229755,29539
Life - parallel bridge generation,5531130,4929142,635771
NBody parallel iterator,56939,110147,18797
NBody parallel reduce,166239,249773,48978
NBody sequential,31016,228290,88862
QuickSort,81001,118067,19820
Travelling Salesman Problem,6673,11596,854
MergeSort,6703788,18683055,1117115
FrogJump,1018861,1645881,198125
Life - sequential generation,61279,382838,7080
Life - parallel iterators generation,164618,211751,28457
Life - parallel bridge generation,5455199,4908925,631361
NBody parallel iterator,55729,107157,16372
NBody parallel reduce,159297,249392,48688
NBody sequential,30588,240955,93562
QuickSort,83432,125390,18416
Travelling Salesman Problem,7883,8559,2167
MergeSort,6075403,17826287,1652686
FrogJump,999474,1781402,176673
Life - sequential generation,54707,421487,8362
Life - parallel iterators generation,168033,216938,28487
Life - parallel bridge generation,5638168,4927160,651288
NBody parallel iterator,59320,132302,17821
NBody parallel reduce,169915,262773,48032
NBody sequential,31779,237338,92555
QuickSort,79358,123468,12206
Travelling Salesman Problem,6366,10345,854
MergeSort,6271864,17893240,1180557
FrogJump,1001162,1767807,168235
Life - sequential generation,56138,362728,134011
Life - parallel iterators generation,156235,197835,28654
Life - parallel bridge generation,5644392,5039565,670848
NBody parallel iterator,58964,124643,16784
NBody parallel reduce,173752,276780,50290
NBody sequential,39414,225117,80501
QuickSort,80459,122262,20110
Travelling Salesman Problem,6631,17623,2029
MergeSort,6277867,18038923,980387
FrogJump,1817597,1851909,262651
Life - sequential generation,56726,386821,146034
Life - parallel iterators generation,155537,200444,29432
Life - parallel bridge generation,5620972,4989244,657894
NBody parallel iterator,60766,105967,18935
NBody parallel reduce,168708,266069,47056
NBody sequential,40673,205327,3723
QuickSort,75787,126336,16875
Travelling Salesman Problem,6923,20721,1816
MergeSort,6362477,18457313,3669534
FrogJump,986544,1804503,234561
Life - sequential generation,63010,376094,144478
Life - parallel iterators generation,151355,209766,30622
Life - parallel bridge generation,5525051,5050443,672436
NBody parallel iterator,61382,108927,17439
NBody parallel reduce,168337,266511,47681
NBody sequential,40306,236667,4395
QuickSort,79168,127664,19668
Travelling Salesman Problem,6756,10040,1419
MergeSort,6728537,18593307,1654150
FrogJump,970039,1719470,182196
Life - sequential generation,69896,444084,8987
Life - parallel iterators generation,158847,193350,26656
Life - parallel bridge generation,5561016,5008545,658916
NBody parallel iterator,63532,129174,17822
NBody parallel reduce,171251,248857,47620
NBody sequential,31867,224537,91624
QuickSort,76032,139229,26228
Travelling Salesman Problem,5402,13274,1068
MergeSort,6371197,21283033,1269267
FrogJump,962017,1698063,165595
Life - sequential generation,53769,395655,139015
Life - parallel iterators generation,153944,192068,26091
Life - parallel bridge generation,5540564,5015106,665005
NBody parallel iterator,62914,130548,17852
NBody parallel reduce,172305,284470,49695
NBody sequential,34803,258166,99345
QuickSort,81357,117669,16601
Travelling Salesman Problem,6543,0,1983
MergeSort,5885796,18069225,1306528
FrogJump,988703,1737566,167166
Life - sequential generation,53250,396128,8239
Life - parallel iterators generation,152383,208424,30012
Life - parallel bridge generation,5483863,4978212,661968
NBody parallel iterator,61687,116357,17470
NBody parallel reduce,169386,289597,50794
NBody sequential,35300,272401,14877
QuickSort,79156,112055,10543
Travelling Salesman Problem,8420,16876,946
MergeSort,6198781,18303619,1119617
FrogJump,988283,4570931,462989
