name,cpu_time_us,package_energy,core_energy
MergeSort,17267328,17709015,1336098
FrogJump,1529417,3399574,243670
Life - sequential generation,64561,388423,7919
Life - parallel iterators generation,176069,261766,29967
Life - parallel bridge generation,5297178,4687044,587234
NBody parallel iterator,37500,150886,26564
NBody parallel reduce,218884,266191,48002
NBody sequential,40112,220997,7842
QuickSort,64249,191945,18416
Travelling Salesman Problem,29,14129,2655
MergeSort,6415245,18450935,1697818
FrogJump,1715274,3418097,260286
Life - sequential generation,59900,414270,153206
Life - parallel iterators generation,178992,314421,35871
Life - parallel bridge generation,5417394,5027526,653058
NBody parallel iterator,34949,165672,20171
NBody parallel reduce,186542,274949,48170
NBody sequential,51817,208165,94294
QuickSort,101602,121042,15625
Travelling Salesman Problem,21850,21163,4348
MergeSort,6008677,18297439,2565709
FrogJump,1626321,3112266,253054
Life - sequential generation,78333,401087,7660
Life - parallel iterators generation,216239,326110,49039
Life - parallel bridge generation,5210310,4762877,593887
NBody parallel iterator,53048,138176,14312
NBody parallel reduce,200334,246203,46644
NBody sequential,45901,203480,3769
QuickSort,58060,151298,14678
Travelling Salesman Problem,23850,22048,5569
MergeSort,6263832,18380580,4234461
FrogJump,1638334,3559768,209858
Life - sequential generation,63871,380870,7828
Life - parallel iterators generation,205735,312331,51389
Life - parallel bridge generation,5331601,4790631,612761
NBody parallel iterator,33435,151573,14510
NBody parallel reduce,215191,262560,48169
NBody sequential,66926,217198,71347
QuickSort,107213,132363,12588
Travelling Salesman Problem,15329,9856,702
MergeSort,6539617,17666078,1893380
FrogJump,1541265,3518709,220631
Life - sequential generation,56892,377727,7766
Life - parallel iterators generation,164943,304641,64267
Life - parallel bridge generation,5392534,4937229,632017
NBody parallel iterator,40280,113626,19926
NBody parallel reduce,230343,275452,49497
NBody sequential,68823,232349,101405
QuickSort,101685,166694,35551
Travelling Salesman Problem,488,0,0
MergeSort,6086753,18647168,3273436
FrogJump,3010673,3515504,264177
Life - sequential generation,69140,404322,150230
Life - parallel iterators generation,182088,297638,46141
Life - parallel bridge generation,5415117,4852364,630567
NBody parallel iterator,56747,122430,23070
NBody parallel reduce,244033,273118,47422
NBody sequential,54447,243350,5158
QuickSort,67913,163108,14236
Travelling Salesman Problem,25565,14770,2381
MergeSort,6333882,17743956,3753545
FrogJump,1518944,3320309,213840
Life - sequential generation,89956,394297,7964
Life - parallel iterators generation,228532,275742,23818
Life - parallel bridge generation,5460506,4884406,634779
NBody parallel iterator,52110,213901,20278
NBody parallel reduce,186290,248293,47941
NBody sequential,58139,258654,14190
QuickSort,97650,162132,13091
Travelling Salesman Problem,1063,14770,1785
MergeSort,6557176,18242907,3156651
FrogJump,1646267,3436407,196645
Life - sequential generation,65628,400340,7690
Life - parallel iterators generation,183573,291336,50107
Life - parallel bridge generation,5512787,4851266,630430
NBody parallel iterator,63264,127450,22521
NBody parallel reduce,165167,242679,46751
NBody sequential,50129,220905,99727
QuickSort,99425,147332,11596
Travelling Salesman Problem,3750,13763,1511
MergeSort,6335880,18703348,1598993
FrogJump,1563937,3240631,226261
Life - sequential generation,63138,401026,156288
Life - parallel iterators generation,210650,236667,32164
Life - parallel bridge generation,5530115,4855614,628065
NBody parallel iterator,46880,160438,18280
NBody parallel reduce,189238,294617,49664
NBody sequential,53958,242831,104502
QuickSort,77356,155037,18920
Travelling Salesman Problem,719,14235,2335
MergeSort,6434600,18364056,3179950
FrogJump,1588715,3505922,233371
Life - sequential generation,64630,405084,161262
Life - parallel iterators generation,201797,251452,15746
Life - parallel bridge generation,5547493,4856225,630613
NBody parallel iterator,48590,168983,22307
NBody parallel reduce,184705,273759,47757
NBody sequential,52472,233600,4318
QuickSort,66372,164084,18111
Travelling Salesman Problem,20,11215,2548
MergeSort,6732645,17951434,1822385
FrogJump,4764617,3386147,208455
Life - sequential generation,74306,410379,161720
Life - parallel iterators generation,191523,327818,27098
Life - parallel bridge generation,5464087,4879295,633757
NBody parallel iterator,52636,181494,23345
NBody parallel reduce,159638,288758,50489
NBody sequential,51919,227359,98582
QuickSort,70796,139916,21240
Travelling Salesman Problem,26115,16402,2868
MergeSort,6334987,18782980,3934581
FrogJump,1667284,3323651,260591
Life - sequential generation,64055,378673,7156
Life - parallel iterators generation,185887,265154,23726
Life - parallel bridge generation,5455289,4872154,634382
NBody parallel iterator,55316,183691,23086
NBody parallel reduce,237910,349409,45713
NBody sequential,48769,256579,102793
QuickSort,93638,155022,15227
Travelling Salesman Problem,9672,12390,626
MergeSort,6128424,17783382,3911937
FrogJump,1607673,3601575,225666
Life - sequential generation,70558,392542,154274
Life - parallel iterators generation,172468,287430,49818
Life - parallel bridge generation,5467707,4860909,634366
NBody parallel iterator,56766,135964,18615
NBody parallel reduce,193169,287354,57706
NBody sequential,47071,247088,103602
QuickSort,79970,276689,39060
Travelling Salesman Problem,6527,11032,794
MergeSort,6317532,17840844,1881021
FrogJump,1734124,3367120,219761
Life - sequential generation,63671,390834,130608
Life - parallel iterators generation,194484,304488,42783
Life - parallel bridge generation,5452888,4881675,633573
NBody parallel iterator,54242,114130,19515
