name,cpu_time_us,package_energy,core_energy
MergeSort,16372924,18101054,1267040
FrogJump,1562788,3614972,262514
MergeSort,6615401,18497838,1689213
FrogJump,1486889,3429846,221058
MergeSort,6668466,18452903,1233457
FrogJump,1555664,3367700,270814
MergeSort,6355317,18350278,1972402
FrogJump,1622647,3653193,248324
MergeSort,6322013,18657986,1430728
FrogJump,1540975,3451344,246020
MergeSort,6292602,19139421,1510664
FrogJump,1613908,3756291,250155
MergeSort,5698397,19366904,3342402
FrogJump,1595684,3700493,246157
MergeSort,6450135,18099589,3571700
FrogJump,3057402,3574446,237918
MergeSort,6648343,19404651,3803941
FrogJump,1526398,3774630,302123
MergeSort,6253410,18732078,1760636
FrogJump,1646221,3384972,272431
