name,median,deviation
factorial::factorial_iterator,7485827,100812
factorial::factorial_join,1183881,227348
factorial::factorial_par_iter,1159340,164452
factorial::factorial_recursion,1052773,30263
fibonacci::fibonacci_iterative,5,0
fibonacci::fibonacci_join_1_2,24133353,850561
fibonacci::fibonacci_join_2_1,25034097,2952785
fibonacci::fibonacci_recursive,7341732,280687
fibonacci::fibonacci_split_iterative,35614,1930
fibonacci::fibonacci_split_recursive,1439530,54662
find::size1::parallel_find_common,7268,421
find::size1::parallel_find_first,6130,589
find::size1::parallel_find_last,1802356,156876
find::size1::parallel_find_middle,1268765,245982
find::size1::parallel_find_missing,1968218,52558
find::size1::serial_find_common,1977,24
find::size1::serial_find_first,0,0
find::size1::serial_find_last,4406906,1054444
find::size1::serial_find_middle,3006704,663790
find::size1::serial_find_missing,4440235,109977
join_microbench::increment_all,31288,1484
join_microbench::increment_all_atomized,1097979,150879
join_microbench::increment_all_max,52995,1474
join_microbench::increment_all_min,16595,1583
join_microbench::increment_all_serialized,17099,783
join_microbench::join_recursively,444609,14832
life::bench::generations,54914570,386743
life::bench::par_bridge_generations,658709615,9469308
life::bench::par_iter_generations,16544430,1640191
map_collect::i_mod_10_to_i::with_collect,2740393,1052591
map_collect::i_mod_10_to_i::with_fold,1169309,82646
map_collect::i_mod_10_to_i::with_fold_vec,1068527,37319
map_collect::i_mod_10_to_i::with_linked_list_collect,11292605,5875747
map_collect::i_mod_10_to_i::with_linked_list_collect_vec,3187439,1740744
map_collect::i_mod_10_to_i::with_linked_list_collect_vec_sized,3271548,1770981
map_collect::i_mod_10_to_i::with_linked_list_map_reduce_vec_sized,3165814,1303071
map_collect::i_mod_10_to_i::with_mutex,40390850,1821732
map_collect::i_mod_10_to_i::with_mutex_vec,9587251,326902
map_collect::i_mod_10_to_i::with_vec_vec_sized,5267522,2695721
map_collect::i_to_i::with_collect,8799330,2403257
map_collect::i_to_i::with_fold,33291810,7105105
map_collect::i_to_i::with_fold_vec,32636576,6916112
map_collect::i_to_i::with_linked_list_collect,20927227,5391943
map_collect::i_to_i::with_linked_list_collect_vec,12170783,1788808
map_collect::i_to_i::with_linked_list_collect_vec_sized,8703017,2080001
map_collect::i_to_i::with_linked_list_map_reduce_vec_sized,8753286,2221601
map_collect::i_to_i::with_mutex,86720503,4487936
map_collect::i_to_i::with_mutex_vec,31106837,4059048
map_collect::i_to_i::with_vec_vec_sized,10188766,3363509
matmul::bench::bench_matmul_strassen,3482387,268833
mergesort::bench::merge_sort_par_bench,7352945,1212094
mergesort::bench::merge_sort_seq_bench,28116615,676557
nbody::bench::nbody_par_bridge,7561285,1055159
nbody::bench::nbody_par_iter,9763034,6280643
nbody::bench::nbody_parreduce,24327752,7057617
nbody::bench::nbody_seq,40441499,34417646
pythagoras::euclid_faux_serial,33673960,624529
pythagoras::euclid_parallel_full,33337738,748937
pythagoras::euclid_parallel_one,6924203,1019672
pythagoras::euclid_parallel_outer,6875132,634137
pythagoras::euclid_parallel_weightless,6938583,399913
pythagoras::euclid_serial,29593176,3709594
quicksort::bench::quick_sort_par_bench,12210230,1747786
quicksort::bench::quick_sort_seq_bench,37728050,4085374
quicksort::bench::quick_sort_splitter,12621365,2006728
sieve::bench::sieve_chunks,4404168,87291
sieve::bench::sieve_parallel,2379967,138396
sieve::bench::sieve_serial,19679275,7636837
sort::demo_merge_sort_ascending,257991,43267
sort::demo_merge_sort_big,11617289,1779091
sort::demo_merge_sort_descending,271119,29884
sort::demo_merge_sort_mostly_ascending,724081,98678
sort::demo_merge_sort_mostly_descending,772758,102401
sort::demo_merge_sort_random,2036974,271990
sort::demo_merge_sort_strings,7169710,1302381
sort::demo_quick_sort_big,6273938,690671
sort::demo_quick_sort_mostly_ascending,18310076,4119802
sort::demo_quick_sort_mostly_descending,11661757,4057518
sort::demo_quick_sort_random,1581188,362931
sort::demo_quick_sort_strings,5018946,937641
sort::par_sort_ascending,91277,23424
sort::par_sort_big,11282862,1050534
sort::par_sort_by_cached_key,11216162,2373464
sort::par_sort_by_key,20613767,1688603
sort::par_sort_descending,112294,30493
sort::par_sort_expensive,28267384,1310831
sort::par_sort_mostly_ascending,309110,21754
sort::par_sort_mostly_descending,345297,21219
sort::par_sort_random,594564,39854
sort::par_sort_strings,2288950,86276
sort::par_sort_unstable_ascending,35006,285
sort::par_sort_unstable_big,4172333,485682
sort::par_sort_unstable_by_key,32760567,6295076
sort::par_sort_unstable_descending,43499,480
sort::par_sort_unstable_expensive,32280009,2323300
sort::par_sort_unstable_mostly_ascending,255186,26970
sort::par_sort_unstable_mostly_descending,305501,59251
sort::par_sort_unstable_random,446304,18467
sort::par_sort_unstable_strings,3194571,494772
str_split::parallel_space_char,510164,24440
str_split::parallel_space_chars,1062265,39566
str_split::parallel_space_fn,339048,6481
str_split::serial_space_char,1994795,432042
str_split::serial_space_chars,1505679,28939
str_split::serial_space_fn,1513063,46067
str_split::serial_space_str,1671815,22264
tsp::bench::dj10,12874760,897771
vec_collect::vec_i::with_collect,2040727,63576
vec_collect::vec_i::with_collect_into_vec,2040039,46538
vec_collect::vec_i::with_collect_into_vec_reused,2013626,222597
vec_collect::vec_i::with_fold,18945321,3298316
vec_collect::vec_i::with_linked_list_collect_vec,8944316,586249
vec_collect::vec_i::with_linked_list_collect_vec_sized,8958068,578396
vec_collect::vec_i::with_linked_list_map_reduce_vec_sized,9202269,561323
vec_collect::vec_i::with_vec_vec_sized,8956102,567528
vec_collect::vec_i_filtered::with_collect,8850109,664523
vec_collect::vec_i_filtered::with_fold,26187001,5494245
vec_collect::vec_i_filtered::with_linked_list_collect_vec,11705905,953928
vec_collect::vec_i_filtered::with_linked_list_collect_vec_sized,11719538,982765
vec_collect::vec_i_filtered::with_linked_list_map_reduce_vec_sized,11962688,692268
vec_collect::vec_i_filtered::with_vec_vec_sized,12060132,660136
