d,cpu_time_us,package_energy,core_energy
1,414496,16270963,1870798
2,178470,4367297,121774
3,119233,2979475,90694
4,89172,2237280,72399
5,72036,1835736,122
6,60454,1560039,213
7,51938,1341391,214
8,44468,1181625,153
9,39921,1069571,31401
10,35582,976085,28685
11,33196,892211,24505
12,29623,836276,24123
13,27314,770972,22582
14,26137,727822,183
15,23797,683894,15
1,354596,8667887,22613
2,178025,4385622,76
3,119661,3021343,244
4,89088,2257757,72979
5,71289,1818097,57340
6,59311,1596521,40281
7,51528,1344275,40403
8,44527,1192031,34865
9,39861,1077749,30775
10,35717,981227,28304
11,32769,895614,30
12,30400,850801,0
13,28040,777090,137
14,25404,734230,91
15,24168,696054,20156
1,358106,8690239,93318
2,177395,4379275,168
3,119862,2966613,95225
4,89401,2256292,72110
5,72016,1828031,1099
6,60406,1542584,46537
7,51638,1329186,39762
8,45744,1198943,23299
9,40314,1066580,0
10,36974,971248,0
11,34728,896880,91
12,31044,838915,91
13,27718,786093,19912
14,25373,729440,20904
15,24091,687159,0
1,354411,8657786,91
2,182030,4395677,51786
3,119715,3003155,97438
4,88955,2259664,62313
5,71216,1821714,57080
6,59077,1556576,29082
7,51353,1329307,107
8,44962,1183197,0
9,39530,1072698,30
10,35731,977626,0
11,32637,892227,0
12,30792,830875,24031
13,27788,771200,0
14,25402,729164,0
15,23652,702814,260
1,355453,8696221,195851
2,181312,4446318,29006
3,119744,3011441,626
4,89917,2329073,69241
5,71230,1833844,57004
6,59326,1554531,30882
7,52215,1333153,366
8,44994,1182205,34422
9,39716,1068747,30821
10,35590,978282,28533
11,32662,889618,0
12,29796,832385,0
13,27298,768973,0
14,25406,727426,0
15,24111,687632,0
1,357529,8677759,1526
2,177750,4365421,198
3,119617,2955627,122
4,89177,2250830,153
5,72469,1841000,1572
6,59866,1557766,17517
7,50796,1331840,39655
8,44163,1180405,34346
9,42186,1076574,30836
10,36017,996225,1938
11,33569,906676,25649
12,30009,841052,23879
13,27387,779638,22185
14,25450,737709,21056
15,23759,697123,20003
1,357682,8716255,6561
2,177206,4505748,22567
3,119304,2952606,95454
4,90266,2238272,30
5,71346,1864909,106
6,60353,1549312,14846
7,52320,1331626,3601
8,44772,1189560,0
9,39983,1073431,443
10,36350,979274,0
11,32986,892365,0
12,30197,837603,427
13,27886,774465,22307
14,25765,732567,0
15,23940,688441,0
1,356607,8637905,30
2,177812,4464369,61
3,120567,3008389,15
4,90065,2267110,45
5,72114,1868586,46797
6,60711,1567912,38923
7,50861,1345176,4288
8,45585,1194244,15
9,40285,1070501,30958
10,35670,975200,28257
11,32974,893462,1557
12,31483,894302,2212
13,27642,770895,61
14,26674,732049,15
15,24441,692668,0
1,357049,8715919,22063
2,177633,4395113,61444
3,119609,2996900,41486
4,90130,2266866,351
5,71576,1830609,11154
6,60109,1550914,15
7,51050,1327995,0
8,44348,1184265,0
9,40128,1063849,15
10,35446,975902,0
11,32590,952343,565
12,29773,834262,92
13,28344,775122,122
14,25594,731377,504
15,23950,689936,77
1,357328,8661967,270845
2,178637,4352558,141564
3,118929,2966338,95805
4,93076,2236853,0
5,71978,1840374,91
6,59820,1583185,61
7,51075,1331245,92
8,44473,1197387,46
9,39623,1069311,91
10,36126,973247,61
11,34194,895034,25923
12,30101,840823,1694
13,27749,774847,22567
14,25605,729485,20949
15,23689,707818,20003
1,355906,8670404,130700
2,178436,4347172,140481
3,119368,2951446,96263
4,89197,2239950,72445
5,71206,1823209,57080
6,59423,1552532,38740
7,50973,1342979,229
8,44509,1189956,153
9,40431,1066671,0
10,35912,978999,0
11,32643,906539,61
12,29725,834445,0
13,27482,774115,15
14,26580,733696,8011
15,24005,691600,6271
1,356333,8691888,186101
2,177607,4375628,56348
3,118423,2945953,30
4,88707,2252630,15
5,70627,1823957,76
6,59709,1552364,15
7,51419,1330818,0
8,44907,1180085,0
9,39720,1067130,76
10,36078,975032,28335
11,33314,891907,25633
12,29887,842807,23024
13,27763,771765,0
14,25390,728661,30
15,24557,688471,31
1,356430,8635540,76
2,177352,4367648,260
3,119587,2954437,244
4,89179,2244848,32637
5,71803,1832578,2365
6,63510,1545315,46171
7,52028,1332176,4501
8,45023,1195144,183
9,39993,1066274,46
10,36283,972042,0
11,32541,934934,381
12,29708,844637,15
13,27609,772986,15
14,25794,728692,15
15,24735,687891,15
1,356137,8670878,119851
2,177471,4369541,412
3,119515,2991193,8560
4,89446,2261083,46
5,71217,1823087,0
6,59248,1540997,15
7,51110,1327690,16
8,45271,1208892,33674
9,39836,1068197,30836
10,35756,973140,28380
11,32914,895812,1419
12,30235,831942,91
13,27311,767493,92
14,25273,726525,168
15,23772,685465,122
1,355152,8663797,702
2,177482,4364352,67303
3,119061,2948181,15
4,91582,2229361,70706
5,71239,1823026,55509
6,58942,1542446,15
7,52216,1338890,0
8,45786,1180481,183
9,39552,1070166,198
10,35783,966915,123
11,34337,899260,19302
12,30053,849321,91
13,28309,775000,15
14,26112,726617,107
15,24749,686488,30
