name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75744,75774,4534657,538178
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36539,36607,2273248,258692
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75063,75228,4454456,538958
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36161,36235,1843196,160421
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78372,78431,3839773,332867
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36098,36167,1822078,161537
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75706,75783,3689505,306704
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35618,35673,1810542,177357
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76012,76034,3650747,306612
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36183,36254,1841121,167688
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77793,77819,3783438,319694
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35759,35870,2246515,256979
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77996,78080,3991872,362794
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36273,36354,1756526,148395
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78217,78244,3782522,309457
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35972,36043,2252313,253352
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77763,77888,4655506,548092
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35426,35502,1850765,182972
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78185,78255,3967825,366419
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35986,36011,1982417,237808
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78212,78282,4088368,408418
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36112,36185,1735225,142382
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75940,76014,3642996,306107
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36211,36286,1766109,152985
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75930,75956,4527454,532349
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35434,35616,2243952,253046
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75941,76012,3845266,347126
NBody sequential,dahu-10.grenoble.grid5000.fr,1,40290,40308,2587579,265256
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,81117,81144,4911120,518915
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36115,36139,2136347,257805
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,83075,83158,5345384,594283
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36983,37051,2371637,257912
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,81294,81487,5227831,591728
NBody sequential,dahu-10.grenoble.grid5000.fr,1,37463,37489,2486688,273518
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,79593,79661,5015917,572970
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36928,36998,2383173,265914
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78729,78797,4955554,569114
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36509,36590,2387018,265670
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78839,79031,4883960,563851
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36253,36327,2320551,257775
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78087,78178,4951526,566176
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35947,35964,2097346,258554
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76896,76951,4176015,470705
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35967,36043,1843134,170105
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76770,76823,4309559,552973
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36041,36110,2073603,258004
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77090,77164,4283742,508251
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35838,35890,2005915,229944
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78627,78682,4465198,531935
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36154,36241,2045466,230143
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76714,76768,4061086,423687
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36527,36544,2024653,202205
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75975,76050,4159596,456521
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36438,36493,2119807,256949
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77900,77951,4355274,521149
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35439,35533,2288751,256351
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76379,76432,4217824,543013
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36114,36187,2047114,253000
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77514,77591,3985402,402589
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36019,36072,2102533,267184
