name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,406858,98847,7077375,708666
NBody sequential,dahu-10.grenoble.grid5000.fr,1,163451,40046,2911553,289415
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,404129,99543,5891098,719069
NBody sequential,dahu-10.grenoble.grid5000.fr,1,158329,40083,2429437,290149
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,392829,98268,5861679,721747
NBody sequential,dahu-10.grenoble.grid5000.fr,1,155251,40119,2508844,291527
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,403958,99022,7059736,713087
NBody sequential,dahu-10.grenoble.grid5000.fr,1,161032,40113,2387079,291114
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,395425,99168,5935471,686741
NBody sequential,dahu-10.grenoble.grid5000.fr,1,164687,40168,2860222,284045
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,408896,98973,7074628,713807
NBody sequential,dahu-10.grenoble.grid5000.fr,1,166678,40639,2414239,298656
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,394178,99406,5942612,724058
NBody sequential,dahu-10.grenoble.grid5000.fr,1,154750,40061,2922294,292123
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,402670,99680,7231854,721334
NBody sequential,dahu-10.grenoble.grid5000.fr,1,161143,40153,2909844,292873
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,411686,99227,7099286,713577
NBody sequential,dahu-10.grenoble.grid5000.fr,1,164149,40036,2845696,290486
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,405049,99219,7158429,720233
NBody sequential,dahu-10.grenoble.grid5000.fr,1,159984,40099,2420770,291052
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,393969,98816,5940354,714740
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160163,40098,2915947,292413
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,405495,98801,7080793,712475
NBody sequential,dahu-10.grenoble.grid5000.fr,1,156807,40076,2904289,291848
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,412385,101116,7288189,738072
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160886,40108,2410761,292307
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,396590,99491,5950852,721059
NBody sequential,dahu-10.grenoble.grid5000.fr,1,163969,40050,2920891,290807
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,404394,99034,7101789,718993
NBody sequential,dahu-10.grenoble.grid5000.fr,1,155316,40116,2456110,290684
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,396813,98995,5908981,719987
NBody sequential,dahu-10.grenoble.grid5000.fr,1,161272,40072,2326776,291251
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,397440,98445,5781662,712934
NBody sequential,dahu-10.grenoble.grid5000.fr,1,159749,40118,2461298,291465
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,395496,98952,7127240,721701
NBody sequential,dahu-10.grenoble.grid5000.fr,1,156050,40090,2915764,292551
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,397159,98916,5849533,714402
NBody sequential,dahu-10.grenoble.grid5000.fr,1,156765,40083,2446039,291679
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,391233,99361,7153729,721104
NBody sequential,dahu-10.grenoble.grid5000.fr,1,156218,39998,2918511,291771
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,408616,99445,7174482,720814
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160283,40021,2913017,291833
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,390208,99199,6012192,722222
NBody sequential,dahu-10.grenoble.grid5000.fr,1,158529,40092,2432184,291450
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,398914,99556,5942917,721180
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160304,40119,2369134,292214
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,396143,99017,5911362,724072
NBody sequential,dahu-10.grenoble.grid5000.fr,1,154976,40081,2456964,292414
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,395762,99078,5920578,720997
NBody sequential,dahu-10.grenoble.grid5000.fr,1,157857,40095,2431085,292046
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,389898,99068,5967026,721533
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160421,40079,2373712,291694
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,396644,98850,5841477,713959
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160663,40051,2911553,290470
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,398362,98625,7064313,714495
NBody sequential,dahu-10.grenoble.grid5000.fr,1,161151,40061,2901238,292199
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,406084,98835,7151166,721701
NBody sequential,dahu-10.grenoble.grid5000.fr,1,160765,40021,2909477,292016
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,400017,99162,5902878,724837
NBody sequential,dahu-10.grenoble.grid5000.fr,1,161976,40095,2401727,292643
