name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,71486,71612,3382804,290011
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30116,30239,1742855,209978
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73359,73475,3518058,308815
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29633,29754,1730159,195947
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72239,72372,3471976,314828
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29716,29835,1406002,127051
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73042,73168,4210316,521102
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29628,29750,1437618,136828
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73264,73386,4203968,509490
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29808,29937,1796992,216235
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73401,73489,4327076,532578
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29708,29829,1773311,217245
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74236,74319,4317921,534766
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30215,30336,1808345,217888
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72762,72839,3445242,314139
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29509,29639,1382320,118881
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72660,72776,3393363,296881
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29955,30080,1812129,222386
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72252,72332,3463919,322769
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29504,29618,1411007,126776
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74275,74359,4270558,517170
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29870,29989,1776912,217612
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74043,74166,4339650,537397
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29732,29852,1716487,209809
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72800,72923,3409049,297248
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29878,30004,1410763,125444
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73516,73632,3407706,297340
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29415,29533,1419186,119799
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72786,72906,4176869,511234
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29816,29937,1504147,148533
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72381,72465,4205251,528171
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30130,30259,1778194,217383
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73811,73928,3601553,329562
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29893,30010,1453304,145396
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73617,73740,4287708,527391
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29860,29971,1542599,138618
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72768,72839,3422110,292979
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29538,29668,1452145,142565
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73149,73274,4176259,498611
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29422,29538,1516536,152434
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73020,73138,3430960,299544
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29643,29753,1450313,131962
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72978,73106,3414847,299910
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29925,30020,1735897,215945
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73544,73630,4253469,529410
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29889,30008,1789790,217107
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74478,74599,4428029,542308
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29571,29694,1715144,211369
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72671,72744,3487784,308081
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29766,29888,1756038,209717
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72639,72762,4175893,522434
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29929,30013,1799983,217612
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75380,75507,4472584,543043
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30780,30901,1880977,224726
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74042,74169,3580313,317444
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30000,30132,1737239,217658
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73936,73961,3550162,316648
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29735,29822,1739986,190531
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73619,73700,3519644,318914
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29293,29420,1401485,130953
