name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,224390,87835,5272569,631844
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107531,40627,2345575,288328
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,233030,87155,4991930,624975
NBody sequential,dahu-10.grenoble.grid5000.fr,1,105917,39956,2758599,280786
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,235068,87343,4969042,621807
NBody sequential,dahu-10.grenoble.grid5000.fr,1,108448,40951,2387078,296223
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,238606,87008,5986862,620323
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106633,40045,2818047,286370
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,234730,87991,5028490,624255
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106831,40738,2376825,296927
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,235138,86773,5905380,622068
NBody sequential,dahu-10.grenoble.grid5000.fr,1,110628,39928,2801995,289522
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,238342,87822,6095748,633849
NBody sequential,dahu-10.grenoble.grid5000.fr,1,94712,41076,2609124,296055
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,233849,87973,5005602,627973
NBody sequential,dahu-10.grenoble.grid5000.fr,1,110259,40586,2289484,286738
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,246481,90943,5161180,654442
NBody sequential,dahu-10.grenoble.grid5000.fr,1,90448,39944,2803399,287349
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,239840,90249,5183702,647633
NBody sequential,dahu-10.grenoble.grid5000.fr,1,92649,39929,2828240,286079
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,216105,86292,5923324,617110
NBody sequential,dahu-10.grenoble.grid5000.fr,1,91251,40004,2754754,287916
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,233442,86168,5949631,616299
NBody sequential,dahu-10.grenoble.grid5000.fr,1,114348,43166,2505364,309045
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,243024,90539,5187731,646670
NBody sequential,dahu-10.grenoble.grid5000.fr,1,118412,43301,2448968,307805
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,219509,86896,5930221,615122
NBody sequential,dahu-10.grenoble.grid5000.fr,1,107877,39967,2802300,285865
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,235351,87914,5071703,632716
NBody sequential,dahu-10.grenoble.grid5000.fr,1,117488,42918,2457635,308112
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,242367,89458,5082506,638530
NBody sequential,dahu-10.grenoble.grid5000.fr,1,116264,42948,2420099,300645
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,237536,87558,4934741,625479
NBody sequential,dahu-10.grenoble.grid5000.fr,1,115410,43178,2467523,310223
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,241034,90136,5187609,650403
NBody sequential,dahu-10.grenoble.grid5000.fr,1,117402,43256,2465936,310560
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,244874,90355,5145373,649975
NBody sequential,dahu-10.grenoble.grid5000.fr,1,116044,42945,2469110,310254
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,243420,89842,5108141,641896
NBody sequential,dahu-10.grenoble.grid5000.fr,1,116113,42996,2479180,311477
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,243281,89475,5142077,649852
NBody sequential,dahu-10.grenoble.grid5000.fr,1,110817,41235,2401483,301165
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,240169,89594,5145739,638530
NBody sequential,dahu-10.grenoble.grid5000.fr,1,117896,42813,2419000,309902
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,215999,85817,5844773,608924
NBody sequential,dahu-10.grenoble.grid5000.fr,1,90695,40011,2742547,280250
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,246087,91108,5201281,646777
NBody sequential,dahu-10.grenoble.grid5000.fr,1,91814,39991,2724420,281230
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,214209,85098,5893661,613178
NBody sequential,dahu-10.grenoble.grid5000.fr,1,112811,42409,2431940,302129
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,243686,90184,5143359,647404
NBody sequential,dahu-10.grenoble.grid5000.fr,1,91566,39980,2820122,287487
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,241644,89553,5106859,637490
NBody sequential,dahu-10.grenoble.grid5000.fr,1,117028,43304,2484246,309549
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,237879,89622,5207079,647220
NBody sequential,dahu-10.grenoble.grid5000.fr,1,109950,45217,3075615,350951
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,226251,90835,5810593,660822
NBody sequential,dahu-10.grenoble.grid5000.fr,1,112695,41916,2471612,303981
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,261521,95946,6584090,682778
NBody sequential,dahu-10.grenoble.grid5000.fr,1,106737,40675,2456842,296483
