name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76852,76941,4531849,552819
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30314,30438,1865169,225553
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75177,75301,4394642,545063
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30093,30220,1791499,217245
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73427,73517,4271352,529549
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30635,30723,1872005,225415
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74212,74342,4283558,529411
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30080,30203,1805110,218208
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72886,72976,4237355,531477
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30317,30403,1783138,219127
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74186,74278,4377369,546118
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30383,30512,1885493,226012
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74715,74890,4357838,538269
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30354,30533,1799373,218561
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73253,73326,4354359,529656
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30274,30357,1810298,218346
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73501,73581,4317311,538591
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30475,30652,1805842,218163
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73261,73332,4257924,529916
NBody sequential,dahu-10.grenoble.grid5000.fr,1,29800,29912,1788692,211094
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73621,73784,4274465,530068
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31122,31201,1845577,225737
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74357,74437,4344349,546333
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30342,30417,1864497,225919
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74208,74357,4331715,537627
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30841,30919,1866389,225644
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73557,73636,4272816,531140
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30266,30338,1836604,225415
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73405,73548,4269521,530084
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30692,30773,1862788,224955
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72403,72484,4183217,522755
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30120,30178,1761043,217290
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72974,73125,4186269,522663
NBody sequential,dahu-10.grenoble.grid5000.fr,1,37049,37101,2832695,299222
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,84275,84344,5285509,622221
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31328,31353,1890864,225231
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77082,77254,4646534,560485
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31325,31550,1958552,232453
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76795,76874,4555652,552422
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31111,31197,1901485,225185
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77122,77198,4669361,558925
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31819,31878,1995051,232529
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77422,77506,4638111,559047
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31746,31819,1962214,232163
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76503,76607,4540516,551626
NBody sequential,dahu-10.grenoble.grid5000.fr,1,31656,31736,1955989,232437
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73458,73532,4334523,529594
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30720,30807,1915400,225002
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74443,74532,4480641,544374
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30433,30518,1801387,216419
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72970,73054,4314564,529548
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30000,30064,1832698,217383
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73103,73187,4325245,528676
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30403,30482,1833248,218255
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73536,73623,4299123,530833
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30234,30315,1811152,218392
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73198,73294,4309132,530604
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30203,30281,1859736,225277
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73627,73710,4302479,529595
NBody sequential,dahu-10.grenoble.grid5000.fr,1,30139,30214,1814998,217383
