name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,324131,76963,5764694,552437
NBody sequential,dahu-10.grenoble.grid5000.fr,1,166110,37311,2379999,275996
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,346909,78597,5922958,566345
NBody sequential,dahu-10.grenoble.grid5000.fr,1,187536,46568,2436517,216586
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,324754,72850,4237538,513805
NBody sequential,dahu-10.grenoble.grid5000.fr,1,186429,46326,3716116,334243
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,405610,100942,7987101,734584
NBody sequential,dahu-10.grenoble.grid5000.fr,1,150351,33764,2570611,246896
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,402436,100279,4930041,427452
NBody sequential,dahu-10.grenoble.grid5000.fr,1,154430,34195,2009089,214781
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,413759,100744,8036052,725939
NBody sequential,dahu-10.grenoble.grid5000.fr,1,149058,33771,2552972,239353
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,400368,100446,4955554,434581
NBody sequential,dahu-10.grenoble.grid5000.fr,1,151248,33700,2035518,235375
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,402482,99814,7874858,719054
NBody sequential,dahu-10.grenoble.grid5000.fr,1,187124,46402,3683096,334473
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,401211,100005,7928080,722435
NBody sequential,dahu-10.grenoble.grid5000.fr,1,188467,46666,3763845,339798
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,399284,99934,7874186,715627
NBody sequential,dahu-10.grenoble.grid5000.fr,1,188612,46606,3776358,341006
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,410659,99609,7930339,718595
NBody sequential,dahu-10.grenoble.grid5000.fr,1,139598,33615,2534906,239169
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,407220,100354,5013293,429119
NBody sequential,dahu-10.grenoble.grid5000.fr,1,152251,34180,2079341,241204
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,403446,100435,7949504,724027
NBody sequential,dahu-10.grenoble.grid5000.fr,1,151586,33848,2487848,237945
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,403826,100066,5039843,448183
NBody sequential,dahu-10.grenoble.grid5000.fr,1,191574,46709,2340142,314981
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,409737,100229,5210558,659399
NBody sequential,dahu-10.grenoble.grid5000.fr,1,185181,46627,2328485,210222
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,356804,80484,5216539,569542
NBody sequential,dahu-10.grenoble.grid5000.fr,1,177310,46757,3620962,346927
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,420443,100562,7895915,729060
NBody sequential,dahu-10.grenoble.grid5000.fr,1,169683,37357,2764519,276502
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,407929,99874,5276598,581859
NBody sequential,dahu-10.grenoble.grid5000.fr,1,191989,46387,2559014,298717
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,409740,100143,5353502,595782
NBody sequential,dahu-10.grenoble.grid5000.fr,1,174959,39252,2656792,283402
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,402531,100288,7954264,725526
NBody sequential,dahu-10.grenoble.grid5000.fr,1,142208,33452,2589471,246514
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,402488,99623,4932482,420489
NBody sequential,dahu-10.grenoble.grid5000.fr,1,186205,46561,2205012,183967
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,339658,75407,4597828,533266
NBody sequential,dahu-10.grenoble.grid5000.fr,1,186933,46482,3678640,333371
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,337860,74698,5569627,535331
NBody sequential,dahu-10.grenoble.grid5000.fr,1,187793,46632,2432855,230097
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,411570,100549,5198351,703876
NBody sequential,dahu-10.grenoble.grid5000.fr,1,187400,46551,2310724,202051
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,330044,72728,4288747,498290
NBody sequential,dahu-10.grenoble.grid5000.fr,1,187490,46672,3704886,332316
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,327381,75085,5698899,543961
NBody sequential,dahu-10.grenoble.grid5000.fr,1,150528,35737,2210444,253138
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,344189,77859,5833420,557317
NBody sequential,dahu-10.grenoble.grid5000.fr,1,189405,46683,2468805,225338
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,336124,77078,4850024,552330
NBody sequential,dahu-10.grenoble.grid5000.fr,1,188344,46444,3717275,331750
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,399026,100240,7923808,721777
NBody sequential,dahu-10.grenoble.grid5000.fr,1,153724,33894,2552056,245458
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,407981,100022,5343431,667768
NBody sequential,dahu-10.grenoble.grid5000.fr,1,141964,34484,2106379,234732
