name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,79134,79249,3788076,319051
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33416,33496,1907954,200812
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,86415,86532,5621629,585225
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36682,36915,2289117,267047
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76260,76379,3855764,368853
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36349,36429,2282831,257270
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75580,75708,3719595,331842
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36449,36521,2259089,260345
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74809,74880,3752798,333265
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36392,36465,2283502,247998
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76425,76553,3787099,358296
NBody sequential,dahu-10.grenoble.grid5000.fr,1,37031,37113,2273737,240103
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74170,74271,3637442,319740
NBody sequential,dahu-10.grenoble.grid5000.fr,1,36551,36637,2285700,247401
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75609,75769,3766714,340272
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35692,35772,2140314,229990
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75991,76121,3657583,312808
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33611,33770,1922053,231474
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74499,74625,3636832,320106
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33838,33910,1980769,233631
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74520,74632,3548086,301486
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33772,33845,1973017,238910
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72802,72878,4211293,520460
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35910,36035,1766292,160512
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73427,73698,4221974,519726
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33559,33634,2004939,237854
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72805,72889,4222096,526289
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35994,36127,1769405,168178
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73473,73632,4235768,522097
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35121,35248,1778011,165087
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72643,72718,4169056,487412
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35515,35642,1725276,162761
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73171,73335,4175954,491406
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35033,35149,1693294,146146
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72591,72664,4128651,490839
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35540,35654,1754512,150430
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73306,73389,4181813,521608
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35340,35458,1724361,157575
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72747,72840,4184743,502514
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34908,34990,1719233,157850
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72791,72853,4125905,501732
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35542,35669,1747066,152342
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,74652,74769,3601004,299176
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34311,34392,2071956,253414
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,77858,77975,3733816,337610
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33531,33607,1991694,231428
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76197,76330,3671804,318041
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33875,33964,1955683,201180
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,75374,75497,3617850,318638
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34664,34745,1989314,214262
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,73222,73375,4219044,525050
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34818,34938,1728084,158584
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72622,72696,4130055,517982
NBody sequential,dahu-10.grenoble.grid5000.fr,1,35226,35333,1701717,147798
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,72573,72725,4176259,488238
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33541,33610,1963862,238267
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,78088,78214,3770498,317215
NBody sequential,dahu-10.grenoble.grid5000.fr,1,33545,33703,1992915,239231
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,76037,76170,3668264,311279
NBody sequential,dahu-10.grenoble.grid5000.fr,1,34478,34565,1979060,218714
