name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,139585,94763,4586720,464370
NBody sequential,dahu-10.grenoble.grid5000.fr,1,55189,29489,1647335,204484
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,138820,94066,4391468,384688
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54741,29424,1718319,193101
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140452,95269,4507984,405618
NBody sequential,dahu-10.grenoble.grid5000.fr,1,57205,29304,1645931,181213
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137222,93074,4494618,415900
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54657,37227,1767208,164184
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140037,95134,4553821,431643
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56201,38228,1904781,186538
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,142372,71805,4171193,512473
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54706,37234,1783748,162762
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,141080,72611,4237354,493701
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54777,37248,1812251,179928
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140001,95318,4416859,381062
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56192,38182,1782039,171391
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,139774,95118,4389149,385377
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54820,37255,1732479,152021
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,136806,93139,4303822,370092
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56100,38161,1763057,150920
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,139875,95096,4332326,376059
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56066,38234,1817134,159365
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140188,95346,4436451,388116
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56008,38153,1814998,171941
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137332,93381,4390736,398840
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56137,38167,1816829,184472
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140671,95219,4454822,395979
NBody sequential,dahu-10.grenoble.grid5000.fr,1,63148,39879,3171256,318149
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,138242,90391,5841843,654274
NBody sequential,dahu-10.grenoble.grid5000.fr,1,52474,35088,2529290,262915
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,141163,94658,6668135,693396
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56926,38492,2696648,279042
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,147130,94493,5508836,692768
NBody sequential,dahu-10.grenoble.grid5000.fr,1,63260,33490,1955684,240562
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137142,92869,6361923,670768
NBody sequential,dahu-10.grenoble.grid5000.fr,1,44882,30539,2063898,225354
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,138219,93760,6364913,683282
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56182,38245,2597162,275492
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137348,93279,6302352,673567
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54929,37264,2545526,268607
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,144141,97904,6714034,711833
NBody sequential,dahu-10.grenoble.grid5000.fr,1,43818,29790,1974238,218255
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,140004,95132,6464278,691177
NBody sequential,dahu-10.grenoble.grid5000.fr,1,47208,29041,1860285,194754
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,138324,93727,6303389,673919
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56126,38064,2589837,274987
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,142363,73491,4367359,536479
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54870,37247,2500116,267322
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,128954,72170,4327504,456980
NBody sequential,dahu-10.grenoble.grid5000.fr,1,56031,38146,2570733,275140
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137547,93504,6285690,672986
NBody sequential,dahu-10.grenoble.grid5000.fr,1,53220,28539,1722225,177985
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137682,93554,6261520,671333
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54860,37290,2572259,272968
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,137233,93302,6234359,669314
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54725,37239,2603082,266679
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,139451,94459,6306014,672986
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54853,37246,2512628,263802
Life - sequential generation,dahu-10.grenoble.grid5000.fr,1,145528,98806,6707015,709660
NBody sequential,dahu-10.grenoble.grid5000.fr,1,54858,37350,2522638,265486
