name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,323720,18335,1552547,142352
FrogJump,dahu-14.grenoble.grid5000.fr,23,3029948,232177,19533397,1766706
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,301939,97373,6050826,577499
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1489871,28905,3426933,230953
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,207967,3580,416686,23792
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1463146,34378,3653921,263787
NBody sequential,dahu-14.grenoble.grid5000.fr,1,226630,45802,2903985,246054
QuickSort,dahu-14.grenoble.grid5000.fr,17,240246,13604,1196408,105891
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,24164,1495,208495,15422
MergeSort,dahu-14.grenoble.grid5000.fr,43,345853,20006,1729976,165041
FrogJump,dahu-14.grenoble.grid5000.fr,23,3062796,234155,19840770,1881579
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,241677,96306,6018295,539417
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1470000,28997,3414115,240715
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,12387,3531,419433,31717
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1399901,32754,3439567,261952
NBody sequential,dahu-14.grenoble.grid5000.fr,1,245507,46319,3041008,288558
QuickSort,dahu-14.grenoble.grid5000.fr,17,230697,11966,1160703,93544
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,54449,1455,216491,15698
MergeSort,dahu-14.grenoble.grid5000.fr,43,351942,19870,1848995,159808
FrogJump,dahu-14.grenoble.grid5000.fr,23,2945457,231912,19659191,1802049
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,352971,97026,6108627,562765
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1695914,36174,4028920,294050
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,198413,3149,323608,25153
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1115966,27820,3000114,222585
NBody sequential,dahu-14.grenoble.grid5000.fr,1,283386,46281,3660269,354486
QuickSort,dahu-14.grenoble.grid5000.fr,17,308534,12572,1099607,94478
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,28611,1454,113830,7742
MergeSort,dahu-14.grenoble.grid5000.fr,43,318534,17001,1574886,139153
FrogJump,dahu-14.grenoble.grid5000.fr,23,2869439,205919,15296042,1488797
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,281774,96886,7515484,748445
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1481975,27230,3110405,233340
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,198421,3239,500853,32956
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,641538,11676,1408383,92060
NBody sequential,dahu-14.grenoble.grid5000.fr,1,308026,46662,3684072,362564
QuickSort,dahu-14.grenoble.grid5000.fr,17,248281,13366,1219418,102357
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,147765,1485,99304,7848
MergeSort,dahu-14.grenoble.grid5000.fr,43,330160,16817,1490108,138434
FrogJump,dahu-14.grenoble.grid5000.fr,23,3015478,228030,18914990,1689319
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,313049,96929,7480693,740658
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1650698,29978,3385123,251043
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,200159,3308,334899,25000
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1083694,28370,3049064,222768
NBody sequential,dahu-14.grenoble.grid5000.fr,1,265175,45785,3617300,355220
QuickSort,dahu-14.grenoble.grid5000.fr,17,315223,12249,1147336,96298
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,147357,1648,81238,15729
MergeSort,dahu-14.grenoble.grid5000.fr,43,315735,16104,1303402,123395
FrogJump,dahu-14.grenoble.grid5000.fr,23,2988634,225906,19168774,1740482
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,355557,97339,5929123,526978
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,1442816,29304,3316337,227802
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,172058,3805,474608,31916
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,558617,12569,1492061,98991
NBody sequential,dahu-14.grenoble.grid5000.fr,1,248300,46525,2976860,257912
QuickSort,dahu-14.grenoble.grid5000.fr,17,252700,12801,1144406,100720
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,168607,1401,232360,15468
MergeSort,dahu-14.grenoble.grid5000.fr,43,323375,16230,1465633,132085
