name,machine_id,threads,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-14.grenoble.grid5000.fr,43,121369,14068,1114743,103122
FrogJump,dahu-14.grenoble.grid5000.fr,23,1838067,156247,12739591,1271261
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,78327,78405,4118947,356918
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,3476677,96843,6384383,515962
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,531226,19055,1119199,111858
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1999560,67647,3492056,291618
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33862,33981,1876765,181443
QuickSort,dahu-14.grenoble.grid5000.fr,17,143675,8566,460387,39199
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7322,1207,52307,4361
MergeSort,dahu-14.grenoble.grid5000.fr,43,110020,14102,707517,61047
FrogJump,dahu-14.grenoble.grid5000.fr,23,1791578,152379,10736850,992358
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77913,77996,5226549,600541
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2433541,47015,4639880,351946
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,220821,4429,437071,31869
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,2250933,71006,4175221,348657
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33144,33210,2242243,254470
QuickSort,dahu-14.grenoble.grid5000.fr,17,198981,8285,833189,64031
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,10456,1149,63416,7849
MergeSort,dahu-14.grenoble.grid5000.fr,43,120352,14433,1213193,117642
FrogJump,dahu-14.grenoble.grid5000.fr,23,1852430,163540,12845671,1306712
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77525,77607,5113207,592447
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2646625,48803,4799793,373687
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,225133,4810,508544,40025
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1653889,29228,3276481,236278
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33786,33918,2374872,260850
QuickSort,dahu-14.grenoble.grid5000.fr,17,195955,7845,697569,65438
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,8272,1127,81603,7956
MergeSort,dahu-14.grenoble.grid5000.fr,43,122255,14922,1266720,93009
FrogJump,dahu-14.grenoble.grid5000.fr,23,1818881,154985,13189054,1229569
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,80159,80175,4615100,402819
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2917999,61920,6976301,527085
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,165099,3329,345703,28672
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1745628,30694,3527152,281122
NBody sequential,dahu-14.grenoble.grid5000.fr,1,35150,35221,2077875,201470
QuickSort,dahu-14.grenoble.grid5000.fr,17,153633,8046,773069,49129
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,6992,1175,127807,7879
MergeSort,dahu-14.grenoble.grid5000.fr,43,108052,13423,794310,63602
FrogJump,dahu-14.grenoble.grid5000.fr,23,1775253,153723,11648408,1050146
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,76027,76098,4139149,363284
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2422051,41648,4420582,314476
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,185991,3680,366943,24587
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1508308,25269,2812737,196497
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33486,33552,2034479,212930
QuickSort,dahu-14.grenoble.grid5000.fr,17,139785,8428,890623,61185
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7177,1398,74646,7940
MergeSort,dahu-14.grenoble.grid5000.fr,43,125786,14250,1180722,112776
FrogJump,dahu-14.grenoble.grid5000.fr,23,1941768,163219,12819242,1295910
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,78640,78729,5314501,600510
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2394564,44767,4681140,343806
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,183638,3761,361694,23516
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1453566,24944,2909111,202695
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33479,33552,1946406,179821
QuickSort,dahu-14.grenoble.grid5000.fr,17,149561,8126,823362,56641
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,8331,1177,99548,7712
MergeSort,dahu-14.grenoble.grid5000.fr,43,130248,13858,1202634,111246
FrogJump,dahu-14.grenoble.grid5000.fr,23,1892473,167490,12700162,1333915
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77392,77601,5185534,600755
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2717175,54884,5291979,417767
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,185593,4074,401366,33737
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1546760,27093,2989128,214812
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33406,33482,2257928,254332
QuickSort,dahu-14.grenoble.grid5000.fr,17,149240,8688,625364,68054
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7476,1115,89416,7803
MergeSort,dahu-14.grenoble.grid5000.fr,43,122533,15480,1186642,121283
FrogJump,dahu-14.grenoble.grid5000.fr,23,1788839,154287,12941617,1216656
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,77808,77883,4813770,575922
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2446393,41021,4463978,328598
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,156941,3078,332519,24251
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1767572,30182,3462150,274879
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33744,33814,2378656,261767
QuickSort,dahu-14.grenoble.grid5000.fr,17,161061,8603,623290,70487
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,8215,1186,76843,7986
MergeSort,dahu-14.grenoble.grid5000.fr,43,105831,12728,1072934,106366
FrogJump,dahu-14.grenoble.grid5000.fr,23,1832021,157884,13190579,1283548
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,75275,75349,4243885,431567
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2811226,53373,5934555,434657
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,195428,4152,455138,34012
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1325488,22563,2524896,179637
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33733,33804,1876461,174420
QuickSort,dahu-14.grenoble.grid5000.fr,17,163646,8242,814329,53381
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7397,1156,142456,16126
MergeSort,dahu-14.grenoble.grid5000.fr,43,114033,13300,1025633,107651
FrogJump,dahu-14.grenoble.grid5000.fr,23,3403245,270007,22909487,2220658
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,76994,77079,4060842,358892
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2518229,44258,4838306,377451
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,153518,2901,339659,25184
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1459870,26833,3001823,227358
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33234,33304,1900691,172676
QuickSort,dahu-14.grenoble.grid5000.fr,17,149529,8239,817503,55891
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7379,1108,0,0
MergeSort,dahu-14.grenoble.grid5000.fr,43,131682,13212,975217,102433
FrogJump,dahu-14.grenoble.grid5000.fr,23,1848982,158199,12778410,1280228
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,76573,76666,5048632,584261
Life - parallel iterators generation,dahu-14.grenoble.grid5000.fr,15,2402136,43950,4646473,339384
NBody parallel iterator,dahu-14.grenoble.grid5000.fr,51,490091,18107,1076169,102618
NBody parallel reduce,dahu-14.grenoble.grid5000.fr,26,1717539,30275,3366935,246545
NBody sequential,dahu-14.grenoble.grid5000.fr,1,33548,33618,2305719,254210
QuickSort,dahu-14.grenoble.grid5000.fr,17,172209,7611,616514,63342
Travelling Salesman Problem,dahu-14.grenoble.grid5000.fr,10,7774,1292,94665,7803
MergeSort,dahu-14.grenoble.grid5000.fr,43,122791,13901,1023984,111154
FrogJump,dahu-14.grenoble.grid5000.fr,23,1853839,159459,13123318,1267896
Life - sequential generation,dahu-14.grenoble.grid5000.fr,1,76921,76996,4069326,364599
