name,machine_id,cpu_time_us,package_energy,core_energy
MergeSort,dahu-13.grenoble.grid5000.fr,75679,729674,57145
FrogJump,dahu-13.grenoble.grid5000.fr,809212,8964272,844744
Life - sequential generation,dahu-13.grenoble.grid5000.fr,196354,5204638,569252
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,262186,1074704,123532
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,35266075,176920201,21181840
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,97,215697,24373
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,146174,640685,71466
NBody sequential,dahu-13.grenoble.grid5000.fr,97464,2546319,270259
QuickSort,dahu-13.grenoble.grid5000.fr,67289,538939,64276
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,6042,128906,15606
MergeSort,dahu-13.grenoble.grid5000.fr,81338,742063,92718
FrogJump,dahu-13.grenoble.grid5000.fr,1339005,10796176,1329600
Life - sequential generation,dahu-13.grenoble.grid5000.fr,211449,5339342,579717
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,243066,976377,112332
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,61849321,343031531,28364533
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,39316,348937,24617
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,129652,860044,58676
NBody sequential,dahu-13.grenoble.grid5000.fr,96444,3445853,318041
QuickSort,dahu-13.grenoble.grid5000.fr,58589,663695,58140
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,2915,175353,15560
MergeSort,dahu-13.grenoble.grid5000.fr,68842,976072,95610
FrogJump,dahu-13.grenoble.grid5000.fr,1107163,14720543,1474033
Life - sequential generation,dahu-13.grenoble.grid5000.fr,204712,7095441,666927
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,276154,1878536,156427
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,59543250,329789073,28025255
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,35689,283813,25047
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,146606,798277,58492
NBody sequential,dahu-13.grenoble.grid5000.fr,95755,2700432,318164
QuickSort,dahu-13.grenoble.grid5000.fr,58385,648985,66678
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4944,63415,7849
MergeSort,dahu-13.grenoble.grid5000.fr,71178,799314,89643
FrogJump,dahu-13.grenoble.grid5000.fr,1114740,35924835,3600641
Life - sequential generation,dahu-13.grenoble.grid5000.fr,191828,6735823,620538
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,263093,1872371,154377
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,56893821,344356235,29313515
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,57654,378600,25857
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,109717,982481,67045
NBody sequential,dahu-13.grenoble.grid5000.fr,93492,3553335,325217
QuickSort,dahu-13.grenoble.grid5000.fr,58724,649413,58889
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4767,80444,7849
MergeSort,dahu-13.grenoble.grid5000.fr,67922,1080014,102480
FrogJump,dahu-13.grenoble.grid5000.fr,1153572,15419943,1494060
Life - sequential generation,dahu-13.grenoble.grid5000.fr,202421,7365216,682426
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,284505,1740413,141402
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,62434774,294664834,25099298
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,14832,408690,33277
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,138556,919920,68254
NBody sequential,dahu-13.grenoble.grid5000.fr,94146,2670098,310300
QuickSort,dahu-13.grenoble.grid5000.fr,61241,654722,66907
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,5453,143249,15697
MergeSort,dahu-13.grenoble.grid5000.fr,68902,849424,84333
FrogJump,dahu-13.grenoble.grid5000.fr,1123253,14368554,1458412
Life - sequential generation,dahu-13.grenoble.grid5000.fr,208948,7051495,674256
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,266312,1812068,155311
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,66988995,284036504,24094684
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,47917,319518,24205
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,124409,818113,57053
NBody sequential,dahu-13.grenoble.grid5000.fr,95666,2722405,318500
QuickSort,dahu-13.grenoble.grid5000.fr,58158,590941,55142
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4881,99243,7528
MergeSort,dahu-13.grenoble.grid5000.fr,66192,928220,86246
FrogJump,dahu-13.grenoble.grid5000.fr,1143111,15260886,1531729
Life - sequential generation,dahu-13.grenoble.grid5000.fr,191288,6483931,639265
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,279473,1652644,141449
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,72988010,326014302,28277383
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,35453,298888,23700
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,91500,905271,65729
NBody sequential,dahu-13.grenoble.grid5000.fr,94485,2654535,310039
QuickSort,dahu-13.grenoble.grid5000.fr,59659,567687,54697
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,7033,51452,8002
MergeSort,dahu-13.grenoble.grid5000.fr,66701,936704,86185
FrogJump,dahu-13.grenoble.grid5000.fr,1106931,14515282,1524400
Life - sequential generation,dahu-13.grenoble.grid5000.fr,206210,5698471,665076
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,259433,1515316,128076
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,71342540,340569623,29970741
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,1068,294616,23929
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,87780,873655,64291
NBody sequential,dahu-13.grenoble.grid5000.fr,96468,2666436,317613
QuickSort,dahu-13.grenoble.grid5000.fr,60372,671202,62348
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,9193,59265,7803
MergeSort,dahu-13.grenoble.grid5000.fr,65595,976438,93697
FrogJump,dahu-13.grenoble.grid5000.fr,1110076,16065144,1540909
Life - sequential generation,dahu-13.grenoble.grid5000.fr,202457,7329571,689510
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,276994,1856440,134349
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,63921600,332442203,28334269
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,57,347472,24128
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,115569,943174,64749
NBody sequential,dahu-13.grenoble.grid5000.fr,98971,2719292,309305
QuickSort,dahu-13.grenoble.grid5000.fr,59408,588805,54743
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3996,85754,7757
MergeSort,dahu-13.grenoble.grid5000.fr,66680,834226,85451
FrogJump,dahu-13.grenoble.grid5000.fr,1141007,16220112,1612957
Life - sequential generation,dahu-13.grenoble.grid5000.fr,208589,5796067,665061
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,269610,1515865,119447
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,67607798,387707137,32264212
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,44629,364196,23975
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,131839,992795,64918
NBody sequential,dahu-13.grenoble.grid5000.fr,96240,3342826,309488
QuickSort,dahu-13.grenoble.grid5000.fr,56542,678220,54667
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4554,0,0
MergeSort,dahu-13.grenoble.grid5000.fr,68024,952146,77816
FrogJump,dahu-13.grenoble.grid5000.fr,1120587,14326989,1422808
Life - sequential generation,dahu-13.grenoble.grid5000.fr,208137,5831345,665336
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,257449,1784603,147615
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,68131467,320429295,27943201
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,13374,330565,23853
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,101192,833189,56319
NBody sequential,dahu-13.grenoble.grid5000.fr,96689,2667718,310085
QuickSort,dahu-13.grenoble.grid5000.fr,58107,617308,54621
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4778,70801,7773
MergeSort,dahu-13.grenoble.grid5000.fr,68448,873777,85497
FrogJump,dahu-13.grenoble.grid5000.fr,1133922,13493068,1411624
Life - sequential generation,dahu-13.grenoble.grid5000.fr,204101,5767381,674133
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,264556,1674862,142153
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,62390801,303723221,26553180
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,17470,337829,24847
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,84432,903807,67856
NBody sequential,dahu-13.grenoble.grid5000.fr,98844,2883171,326303
QuickSort,dahu-13.grenoble.grid5000.fr,59861,675902,62470
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3189,71655,7666
MergeSort,dahu-13.grenoble.grid5000.fr,65748,841734,86904
FrogJump,dahu-13.grenoble.grid5000.fr,1135447,14387597,1459391
Life - sequential generation,dahu-13.grenoble.grid5000.fr,211168,6463729,720125
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,275903,1759273,146758
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,60442197,317425396,28265174
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,43738,309875,25153
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,95928,912413,66433
NBody sequential,dahu-13.grenoble.grid5000.fr,100454,2887261,333509
QuickSort,dahu-13.grenoble.grid5000.fr,59364,561400,54437
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,5330,65796,7895
MergeSort,dahu-13.grenoble.grid5000.fr,62992,801634,86567
FrogJump,dahu-13.grenoble.grid5000.fr,1120396,15432455,1568495
Life - sequential generation,dahu-13.grenoble.grid5000.fr,202682,5807358,673812
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,265895,1708613,147171
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,60593138,296663792,25637414
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,14284,286071,25062
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,93713,803464,58783
NBody sequential,dahu-13.grenoble.grid5000.fr,104176,3473441,325599
QuickSort,dahu-13.grenoble.grid5000.fr,58059,635558,54712
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8792,173949,15561
MergeSort,dahu-13.grenoble.grid5000.fr,64485,1051144,95212
FrogJump,dahu-13.grenoble.grid5000.fr,1063551,13387539,1403943
Life - sequential generation,dahu-13.grenoble.grid5000.fr,208975,5921615,674134
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,283393,1725398,146711
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,57982877,288501642,26525641
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,39291,304809,25229
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,127562,823790,59839
NBody sequential,dahu-13.grenoble.grid5000.fr,95752,2660088,310040
QuickSort,dahu-13.grenoble.grid5000.fr,59347,581053,54468
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3378,57739,7941
MergeSort,dahu-13.grenoble.grid5000.fr,72745,789548,85986
FrogJump,dahu-13.grenoble.grid5000.fr,1094469,22332280,2255220
Life - sequential generation,dahu-13.grenoble.grid5000.fr,202121,5697556,665045
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,244412,1645626,140821
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,59180970,323729823,27510976
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,15115,307312,33507
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,106336,729002,59670
NBody sequential,dahu-13.grenoble.grid5000.fr,93211,2669549,309045
QuickSort,dahu-13.grenoble.grid5000.fr,58495,578551,54484
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4966,82275,7695
MergeSort,dahu-13.grenoble.grid5000.fr,71090,820127,86017
FrogJump,dahu-13.grenoble.grid5000.fr,1138446,15602743,1557081
Life - sequential generation,dahu-13.grenoble.grid5000.fr,206560,5773300,674776
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,264877,1597469,140209
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,61031927,398244220,35083114
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,16311,320861,25000
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,109105,856199,67580
NBody sequential,dahu-13.grenoble.grid5000.fr,96057,2722466,318821
QuickSort,dahu-13.grenoble.grid5000.fr,59958,575255,54437
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,7616,83618,7619
MergeSort,dahu-13.grenoble.grid5000.fr,65634,934324,96650
FrogJump,dahu-13.grenoble.grid5000.fr,1072983,15315756,1558427
Life - sequential generation,dahu-13.grenoble.grid5000.fr,219443,7131146,706049
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,261246,1614620,140439
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,62159946,285938294,25094050
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,4595,321960,25627
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,110571,811888,59226
NBody sequential,dahu-13.grenoble.grid5000.fr,100188,2834710,333004
QuickSort,dahu-13.grenoble.grid5000.fr,58426,570494,55233
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4762,122497,15835
MergeSort,dahu-13.grenoble.grid5000.fr,65176,810178,87592
FrogJump,dahu-13.grenoble.grid5000.fr,1140580,14998497,1524707
Life - sequential generation,dahu-13.grenoble.grid5000.fr,215193,5954818,704259
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,250357,1678158,148991
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,61890788,313779775,26614151
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,8575,336242,25199
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,113088,856138,50643
NBody sequential,dahu-13.grenoble.grid5000.fr,99560,2780572,325063
QuickSort,dahu-13.grenoble.grid5000.fr,56356,670653,62286
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,5587,64026,7864
MergeSort,dahu-13.grenoble.grid5000.fr,69865,866209,86797
FrogJump,dahu-13.grenoble.grid5000.fr,1077651,16207905,1621341
Life - sequential generation,dahu-13.grenoble.grid5000.fr,206839,6742536,634537
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,261475,1615841,147155
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,72634691,322862150,27508375
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,12577,188842,25367
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,133024,941343,67151
NBody sequential,dahu-13.grenoble.grid5000.fr,93064,2805901,318026
QuickSort,dahu-13.grenoble.grid5000.fr,59667,641478,54698
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,3425,63843,8033
MergeSort,dahu-13.grenoble.grid5000.fr,67620,863707,87990
FrogJump,dahu-13.grenoble.grid5000.fr,1125196,16423725,1658000
Life - sequential generation,dahu-13.grenoble.grid5000.fr,197815,5825485,667172
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,291679,1669490,143545
Life - parallel bridge generation,dahu-13.grenoble.grid5000.fr,71098676,302190510,26335768
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,34278,308227,25689
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,140681,793822,58889
NBody sequential,dahu-13.grenoble.grid5000.fr,98007,2707635,317995
QuickSort,dahu-13.grenoble.grid5000.fr,62415,655821,62424
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,4904,76599,7803
