name,machine_id,cpu_time_us,package_energy,core_energy
MergeSort,dahu-13.grenoble.grid5000.fr,113949,1285458,110007
FrogJump,dahu-13.grenoble.grid5000.fr,1608394,15275596,1522029
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72657,3855581,309412
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2098417,4480335,358157
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,127891,367308,28428
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,679594,1625301,118530
NBody sequential,dahu-13.grenoble.grid5000.fr,33361,1719784,136277
QuickSort,dahu-13.grenoble.grid5000.fr,163101,695433,59900
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8266,73364,7650
MergeSort,dahu-13.grenoble.grid5000.fr,115244,1016172,90546
FrogJump,dahu-13.grenoble.grid5000.fr,3200458,15473715,1475165
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72153,4120106,377436
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,1990838,4381275,369204
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,134808,350768,28121
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,698071,1563168,128459
NBody sequential,dahu-13.grenoble.grid5000.fr,33001,1758235,139214
QuickSort,dahu-13.grenoble.grid5000.fr,162876,772642,68055
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8162,99243,7987
MergeSort,dahu-13.grenoble.grid5000.fr,104289,1015318,97201
FrogJump,dahu-13.grenoble.grid5000.fr,1685837,14557763,1507555
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72148,4804126,547541
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2043078,4278676,359320
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,130196,344482,27800
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,671264,1584530,118590
NBody sequential,dahu-13.grenoble.grid5000.fr,33706,1684810,131228
QuickSort,dahu-13.grenoble.grid5000.fr,162050,756956,59762
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,7157,96191,8109
MergeSort,dahu-13.grenoble.grid5000.fr,117327,1002561,89597
FrogJump,dahu-13.grenoble.grid5000.fr,1757692,14821190,1427673
Life - sequential generation,dahu-13.grenoble.grid5000.fr,72432,3901846,309152
Life - parallel iterators generation,dahu-13.grenoble.grid5000.fr,2013476,4335377,339828
NBody parallel iterator,dahu-13.grenoble.grid5000.fr,130452,241210,17962
NBody parallel reduce,dahu-13.grenoble.grid5000.fr,729161,1732906,122538
NBody sequential,dahu-13.grenoble.grid5000.fr,32806,2061885,231382
QuickSort,dahu-13.grenoble.grid5000.fr,160323,793882,68361
Travelling Salesman Problem,dahu-13.grenoble.grid5000.fr,8322,76599,7941
MergeSort,dahu-13.grenoble.grid5000.fr,121839,1085080,103168
