name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,91871,15286,1362729,118330
FrogJump,dahu-10.grenoble.grid5000.fr,1012620,121061,10721530,944485
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72974,73048,4017141,314139
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,674945,21644,2455377,148914
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,88787,3234,355651,21573
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,376425,11750,1579769,89612
NBody sequential,dahu-10.grenoble.grid5000.fr,30872,30951,2143061,215363
QuickSort,dahu-10.grenoble.grid5000.fr,111552,7686,726134,49051
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7953,1367,96008,7298
MergeSort,dahu-10.grenoble.grid5000.fr,104683,14334,1140073,100306
FrogJump,dahu-10.grenoble.grid5000.fr,1119576,147587,12450530,1117772
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72975,73109,4171620,386478
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,865235,26607,2887566,197202
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,91601,2916,356566,22720
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,403184,12525,1578914,91019
NBody sequential,dahu-10.grenoble.grid5000.fr,31193,31310,2136652,216878
QuickSort,dahu-10.grenoble.grid5000.fr,109098,7576,656126,43177
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7089,1098,99426,7436
MergeSort,dahu-10.grenoble.grid5000.fr,87764,11749,1038633,85557
FrogJump,dahu-10.grenoble.grid5000.fr,1125071,154503,12768888,1162999
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72977,73096,4098561,375156
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,901939,27618,3057060,216326
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,91157,2918,287719,15514
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,394768,12238,1498470,91846
NBody sequential,dahu-10.grenoble.grid5000.fr,30973,31043,2054011,217153
QuickSort,dahu-10.grenoble.grid5000.fr,108389,7535,745970,62424
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7705,1130,78125,7543
MergeSort,dahu-10.grenoble.grid5000.fr,87533,12603,1101865,94952
FrogJump,dahu-10.grenoble.grid5000.fr,1156416,154476,12933194,1227030
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73331,73356,4726428,517721
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,925351,28339,3097587,225170
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,90991,3025,358581,23042
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,438812,13505,1617489,108660
NBody sequential,dahu-10.grenoble.grid5000.fr,32448,32508,2176508,225782
QuickSort,dahu-10.grenoble.grid5000.fr,114054,7470,744261,61108
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7876,1125,0,7068
MergeSort,dahu-10.grenoble.grid5000.fr,83682,12257,1043820,90025
FrogJump,dahu-10.grenoble.grid5000.fr,1209727,168908,13610988,1271369
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72982,73115,4109181,376640
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,932977,28673,3132560,228490
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,89139,2872,349548,23975
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,401868,12471,1540035,100919
NBody sequential,dahu-10.grenoble.grid5000.fr,32143,32259,2120478,218943
QuickSort,dahu-10.grenoble.grid5000.fr,107688,7277,633849,50628
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,6602,1100,75134,7252
MergeSort,dahu-10.grenoble.grid5000.fr,85287,12828,1102048,96100
FrogJump,dahu-10.grenoble.grid5000.fr,1210419,162277,13250394,1227152
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72767,72889,4113392,373121
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,930257,28559,3068534,222783
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,86746,2786,368102,23715
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,378936,11800,1524777,93330
NBody sequential,dahu-10.grenoble.grid5000.fr,31670,31787,2050593,215960
QuickSort,dahu-10.grenoble.grid5000.fr,109053,7186,629820,44370
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,7274,1377,78675,7390
MergeSort,dahu-10.grenoble.grid5000.fr,84679,11643,1018736,90683
FrogJump,dahu-10.grenoble.grid5000.fr,1228029,208811,15756857,1415556
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73067,73151,4145253,385881
