name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
MergeSort,dahu-10.grenoble.grid5000.fr,150463,16033,1472653,126852
FrogJump,dahu-10.grenoble.grid5000.fr,1993619,178361,16455280,1408564
Life - sequential generation,dahu-10.grenoble.grid5000.fr,771702,100823,7594463,737154
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1217585,29316,3229118,245167
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,144655,2803,294128,23562
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,401670,9249,1112302,73517
NBody sequential,dahu-10.grenoble.grid5000.fr,383602,47127,3453482,346820
QuickSort,dahu-10.grenoble.grid5000.fr,113660,7640,592467,51867
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,16095,1623,153808,14734
MergeSort,dahu-10.grenoble.grid5000.fr,144537,12984,1109250,96283
FrogJump,dahu-10.grenoble.grid5000.fr,2000018,179849,15463339,1380030
Life - sequential generation,dahu-10.grenoble.grid5000.fr,748790,96299,7265362,706814
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1207020,26472,3091728,232789
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,132765,2561,388793,23991
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,445398,11288,1360471,89612
NBody sequential,dahu-10.grenoble.grid5000.fr,355357,44879,3287223,322738
QuickSort,dahu-10.grenoble.grid5000.fr,115775,8559,710753,66816
Travelling Salesman Problem,dahu-10.grenoble.grid5000.fr,11404,1220,93567,7389
MergeSort,dahu-10.grenoble.grid5000.fr,140604,11719,970029,81182
FrogJump,dahu-10.grenoble.grid5000.fr,2085983,190178,16538288,1482540
Life - sequential generation,dahu-10.grenoble.grid5000.fr,710302,102689,8581521,774470
Life - parallel iterators generation,dahu-10.grenoble.grid5000.fr,1129274,23737,2759819,207912
NBody parallel iterator,dahu-10.grenoble.grid5000.fr,134152,2615,241271,16402
NBody parallel reduce,dahu-10.grenoble.grid5000.fr,357932,7239,887021,58140
NBody sequential,dahu-10.grenoble.grid5000.fr,353110,48041,3655569,355572
