name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73556,73690,3709769,297371
NBody sequential,dahu-10.grenoble.grid5000.fr,33477,33609,1656368,131274
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71733,71873,3477286,288145
NBody sequential,dahu-10.grenoble.grid5000.fr,33393,33478,1688411,170978
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71613,71730,3514944,280403
NBody sequential,dahu-10.grenoble.grid5000.fr,33471,33604,1666195,140729
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72294,72411,3564749,286171
NBody sequential,dahu-10.grenoble.grid5000.fr,33386,33515,1698482,152434
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71772,71897,3489371,281030
NBody sequential,dahu-10.grenoble.grid5000.fr,33398,33519,1608089,129438
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71754,71872,3506278,303858
NBody sequential,dahu-10.grenoble.grid5000.fr,33475,33593,1665706,133523
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71545,71668,3489249,288527
NBody sequential,dahu-10.grenoble.grid5000.fr,33399,33485,1638789,149818
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72100,72237,3527945,283295
NBody sequential,dahu-10.grenoble.grid5000.fr,33472,33603,1652705,131090
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72046,72168,3505423,293286
NBody sequential,dahu-10.grenoble.grid5000.fr,33396,33515,1611141,147064
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72226,72358,3476859,279440
NBody sequential,dahu-10.grenoble.grid5000.fr,33398,33519,1604489,132238
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72102,72234,3481986,284442
NBody sequential,dahu-10.grenoble.grid5000.fr,33398,33531,1666134,136047
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71716,71849,3436942,285131
NBody sequential,dahu-10.grenoble.grid5000.fr,33393,33524,1626888,146375
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71996,72117,3479300,283892
NBody sequential,dahu-10.grenoble.grid5000.fr,33481,33610,1596126,129575
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71859,71942,3498526,297937
NBody sequential,dahu-10.grenoble.grid5000.fr,33392,33544,1690365,156289
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72251,72369,3555899,288895
NBody sequential,dahu-10.grenoble.grid5000.fr,33391,33476,1662227,143575
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72353,72470,3538199,299176
NBody sequential,dahu-10.grenoble.grid5000.fr,33414,33533,1655452,131642
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71555,71674,3478080,287823
NBody sequential,dahu-10.grenoble.grid5000.fr,33392,33516,1675349,144998
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71615,71728,3506339,285284
NBody sequential,dahu-10.grenoble.grid5000.fr,33382,33511,1622799,143789
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72020,72149,3488272,298074
NBody sequential,dahu-10.grenoble.grid5000.fr,33547,33618,1668026,132605
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71714,71834,3506888,284167
NBody sequential,dahu-10.grenoble.grid5000.fr,33384,33414,1616023,133615
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72002,72126,3452933,302619
NBody sequential,dahu-10.grenoble.grid5000.fr,33386,33470,1654231,132559
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71755,71874,3488944,292016
NBody sequential,dahu-10.grenoble.grid5000.fr,33675,33806,1615535,148899
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71744,71863,3427847,284258
NBody sequential,dahu-10.grenoble.grid5000.fr,33397,33518,1642635,135910
Life - sequential generation,dahu-10.grenoble.grid5000.fr,70565,70686,3436576,289369
NBody sequential,dahu-10.grenoble.grid5000.fr,33391,33509,1662837,148532
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71507,71626,3431266,274711
NBody sequential,dahu-10.grenoble.grid5000.fr,33383,33506,1617916,140913
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71691,71812,3447928,295779
NBody sequential,dahu-10.grenoble.grid5000.fr,33388,33473,1602963,128153
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71508,71628,3438224,282469
NBody sequential,dahu-10.grenoble.grid5000.fr,33474,33604,1660946,139352
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72124,72241,3462576,278659
NBody sequential,dahu-10.grenoble.grid5000.fr,33385,33512,1600826,127556
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72203,72332,3512991,288222
NBody sequential,dahu-10.grenoble.grid5000.fr,33389,33521,1621273,142428
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71995,72116,3480765,278583
NBody sequential,dahu-10.grenoble.grid5000.fr,33387,33470,1649593,132742
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71785,71909,3473502,289308
NBody sequential,dahu-10.grenoble.grid5000.fr,33386,33508,1610286,131916
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71941,72062,3461600,282438
NBody sequential,dahu-10.grenoble.grid5000.fr,33391,33503,1680294,185925
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71773,71897,3567435,312487
NBody sequential,dahu-10.grenoble.grid5000.fr,33407,33542,1591854,135497
Life - sequential generation,dahu-10.grenoble.grid5000.fr,71530,71664,3438895,285636
NBody sequential,dahu-10.grenoble.grid5000.fr,33382,33519,1612117,144845
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72288,72371,3477835,280526
NBody sequential,dahu-10.grenoble.grid5000.fr,33379,33462,1604916,130861
