name,machine_id,cpu_time_us,wall_clock_time_us,package_energy,core_energy
Life - sequential generation,dahu-10.grenoble.grid5000.fr,77140,77228,4798450,540702
NBody sequential,dahu-10.grenoble.grid5000.fr,33619,33708,2155024,237992
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72943,73033,4425038,512244
NBody sequential,dahu-10.grenoble.grid5000.fr,33415,33547,2081049,231290
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72853,72943,4438465,512289
NBody sequential,dahu-10.grenoble.grid5000.fr,33405,33493,2175471,238038
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72815,72894,4426929,510362
NBody sequential,dahu-10.grenoble.grid5000.fr,33420,33551,2077388,231244
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73043,73123,4376026,502696
NBody sequential,dahu-10.grenoble.grid5000.fr,34003,34086,2162470,238022
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73075,73164,4446583,511051
NBody sequential,dahu-10.grenoble.grid5000.fr,33422,33513,2148920,238037
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72776,72867,4428517,511326
NBody sequential,dahu-10.grenoble.grid5000.fr,33407,33497,2080012,231245
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72590,72678,4345875,504166
NBody sequential,dahu-10.grenoble.grid5000.fr,33404,33493,2068293,230050
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72254,72337,4355458,504900
NBody sequential,dahu-10.grenoble.grid5000.fr,33412,33501,2092890,230769
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72813,72941,4401783,504900
NBody sequential,dahu-10.grenoble.grid5000.fr,33411,33515,2057368,231933
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72800,72892,4405506,510821
NBody sequential,dahu-10.grenoble.grid5000.fr,33391,33475,2120417,238037
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72432,72559,4395619,512183
NBody sequential,dahu-10.grenoble.grid5000.fr,33493,33582,2154474,237625
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73008,73137,4361622,505222
NBody sequential,dahu-10.grenoble.grid5000.fr,33414,33499,2124201,237900
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73012,73139,4400502,512611
NBody sequential,dahu-10.grenoble.grid5000.fr,33553,33642,2104487,231290
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72772,72904,4389210,511188
NBody sequential,dahu-10.grenoble.grid5000.fr,33515,33610,2102594,231122
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72671,72803,4389149,511754
NBody sequential,dahu-10.grenoble.grid5000.fr,33417,33503,2061396,231336
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72492,72580,4342579,504624
NBody sequential,dahu-10.grenoble.grid5000.fr,33415,33543,2083186,231198
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72755,72864,4429860,510301
NBody sequential,dahu-10.grenoble.grid5000.fr,33517,33644,2153131,238955
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72429,72510,4419179,512015
NBody sequential,dahu-10.grenoble.grid5000.fr,33406,33498,2137323,238175
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73078,73210,4415699,510882
NBody sequential,dahu-10.grenoble.grid5000.fr,33427,33554,2067195,231244
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73092,73176,4394581,510500
NBody sequential,dahu-10.grenoble.grid5000.fr,33409,33498,2077326,229913
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72430,72521,4337330,503339
NBody sequential,dahu-10.grenoble.grid5000.fr,33431,33557,2072505,230601
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72696,72782,4347156,501687
NBody sequential,dahu-10.grenoble.grid5000.fr,33408,33498,2071223,230280
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72774,72868,4419606,502146
NBody sequential,dahu-10.grenoble.grid5000.fr,33432,33501,2073969,230050
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72454,72542,4327443,509214
NBody sequential,dahu-10.grenoble.grid5000.fr,33420,33500,2066645,230785
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73055,73181,4417286,508802
NBody sequential,dahu-10.grenoble.grid5000.fr,33588,33713,2089045,230464
Life - sequential generation,dahu-10.grenoble.grid5000.fr,72799,72924,4419361,506460
NBody sequential,dahu-10.grenoble.grid5000.fr,33606,33741,2128352,235881
Life - sequential generation,dahu-10.grenoble.grid5000.fr,73390,73516,4410999,507425
NBody sequential,dahu-10.grenoble.grid5000.fr,33417,33546,2063166,229454
